,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
447,Quini\7a538238,es ESP,DF,Granada,32-140,1989,14.9,722,56,278,298,187,20,604,13,21,61.9,14,0,347,1821,937,36,11,1,17,13,361,322,89.2,21,Matches
448,Dani Raba\ea6a7ab4,es ESP,MF,Granada,26-105,1995,0.2,11,1,1,5,5,1,11,0,0,,0,0,4,27,15,1,0,0,0,1,5,4,80.0,1,Matches
449,Dani Raba\ea6a7ab4,es ESP,MFFW,Villarreal,26-105,1995,1.0,61,3,13,27,25,4,52,1,2,50.0,1,0,40,185,80,3,2,1,5,1,47,37,78.7,14,Matches
450,Uroš Račić\faed84db,rs SRB,MF,Valencia,23-331,1998,6.3,280,10,61,174,63,6,278,6,9,66.7,7,0,161,746,291,14,7,1,6,2,179,159,88.8,6,Matches
451,Nemanja Radoja\b5dd3469,rs SRB,MF,Levante,29-005,1993,7.2,332,26,109,217,27,2,323,5,7,71.4,5,0,200,816,321,11,3,0,7,6,233,202,86.7,5,Matches
452,Rafinha\0c2ac3cb,br BRA,MF,Real Sociedad,28-364,1993,2.4,132,3,26,72,45,5,132,5,7,71.4,5,0,105,453,260,14,6,1,4,6,103,88,85.4,9,Matches
453,Antonio Raillo\b857bd29,es ESP,DF,Mallorca,30-126,1991,2.0,85,18,54,33,5,1,81,0,0,,0,0,43,480,297,5,2,0,0,0,49,48,98.0,0,Matches
454,Ivan Rakitić\89f951b5,hr CRO,MF,Sevilla,33-338,1988,13.5,1079,26,216,676,245,21,1009,4,10,40.0,5,0,735,2913,1336,55,14,1,19,9,871,801,92.0,46,Matches
455,Jonás Ramalho\be3a0121,es ESP,DF,Osasuna,28-246,1993,1.0,51,6,21,25,7,0,41,0,2,0.0,0,1,17,91,24,1,0,0,0,1,18,17,94.4,0,Matches
456,Sandro Ramírez\833fb62e,es ESP,FW,Getafe,26-217,1995,11.0,420,5,26,183,244,46,396,12,35,34.3,15,0,311,1741,737,34,13,10,34,15,515,314,61.0,90,Matches
457,Lluís Recasens\c31ea173,es ESP,DF,Espanyol,20-073,2001,0.5,17,5,10,7,0,0,17,0,0,,0,0,7,28,14,0,0,0,0,0,8,8,100.0,1,Matches
458,Manolo Reina\605eb473,es ESP,GK,Mallorca,36-316,1985,18.0,577,517,576,1,0,0,358,0,0,,0,0,237,1506,931,0,0,0,0,0,201,201,100.0,0,Matches
459,Karim Rekik\3376a776,nl NED,DF,Sevilla,27-071,1994,9.6,715,66,320,352,74,14,677,4,5,80.0,4,0,515,1852,939,18,7,1,11,6,548,520,94.9,10,Matches
460,Álex Remiro\374ee424,es ESP,GK,Real Sociedad,26-324,1995,19.0,667,607,660,9,1,0,492,0,0,,0,0,344,1478,689,0,0,0,1,0,318,317,99.7,0,Matches
461,Nico Ribaudo\ce8039aa,es ESP,MFFW,Espanyol,20-306,2001,8.6,414,7,51,235,176,26,401,15,28,53.6,16,3,323,1992,1054,63,22,10,14,16,395,312,79.0,45,Matches
462,Diego Rico\d9ba39fc,es ESP,DF,Real Sociedad,28-353,1993,7.5,576,33,198,274,122,4,482,2,12,16.7,4,1,323,1097,543,22,4,1,6,3,328,309,94.2,8,Matches
463,Sergio Rico\5f0241b2,es ESP,GK,Mallorca,28-163,1993,1.0,18,16,18,0,0,0,12,0,0,,0,0,6,26,21,0,0,0,0,0,3,3,100.0,0,Matches
464,Luis Rioja\eb3dd471,es ESP,MFFW,Alavés,28-118,1993,21.5,824,18,128,345,436,70,793,45,88,51.1,51,5,613,3652,2378,120,40,27,48,42,778,528,67.9,90,Matches
465,Rober\c00097d2,es ESP,DF,Levante,26-360,1995,7.9,399,59,233,175,14,5,389,1,1,100.0,1,0,225,1318,777,16,3,0,4,1,244,238,97.5,0,Matches
466,Sergi Roberto\335fa267,es ESP,MFDF,Barcelona,30-004,1992,4.4,299,10,61,159,94,8,282,5,5,100.0,5,1,203,935,492,19,6,0,6,3,245,217,88.6,12,Matches
467,Rubén Rochina\ecd8c01e,es ESP,MFFW,Granada,30-325,1991,7.6,447,13,61,254,159,7,417,8,15,53.3,10,0,305,1604,704,33,11,1,24,14,366,310,84.7,30,Matches
468,Enzo Roco\37f827ec,cl CHI,DF,Elche,29-179,1992,15.6,769,146,470,324,14,7,737,1,3,33.3,1,0,408,1967,833,17,1,0,3,1,445,434,97.5,5,Matches
469,Rodrigo\85bed4ee,es ESP,FW,Betis,21-271,2000,7.7,419,6,57,188,208,31,415,12,19,63.2,13,0,345,1994,998,57,20,6,15,6,403,333,82.6,42,Matches
470,Kévin Rodrigues\f1bed920,pt POR,DFFW,Rayo Vallecano,27-343,1994,2.2,120,3,29,62,35,3,103,1,3,33.3,3,2,75,332,182,10,5,0,4,3,79,64,81.0,6,Matches
471,Óscar Rodríguez Arnaiz\19709006,es ESP,FWMF,Sevilla,23-228,1998,4.6,273,10,49,132,114,15,257,9,16,56.3,9,1,199,915,405,23,9,2,12,6,237,202,85.2,27,Matches
472,Óscar Rodríguez Arnaiz\19709006,es ESP,FWDF,Getafe,23-228,1998,1.3,68,1,10,31,32,3,59,3,4,75.0,3,0,42,257,166,7,4,2,1,5,66,44,66.7,3,Matches
473,Ángel Rodríguez\8cfc2f69,es ESP,FW,Mallorca,34-291,1987,9.3,238,13,29,109,119,33,232,8,10,80.0,8,0,141,743,358,17,9,4,17,18,331,151,45.6,48,Matches
474,Dani Rodríguez\70f8e0bd,es ESP,FWMF,Mallorca,33-250,1988,19.6,829,12,113,447,350,63,794,38,64,59.4,42,4,601,3408,1784,75,32,11,38,62,753,570,75.7,87,Matches
475,Guido Rodríguez\34e393f2,ar ARG,MF,Betis,27-305,1994,15.9,994,67,325,594,119,9,966,10,14,71.4,10,0,644,2482,982,37,8,0,11,7,639,599,93.7,2,Matches
476,Rodrygo\8f5e92a6,br BRA,FW,Real Madrid,21-033,2001,6.7,400,1,38,172,211,50,386,10,30,33.3,13,1,301,1542,1028,64,11,15,19,9,430,315,73.3,54,Matches
477,Leonardo Román\924ff27e,es ESP,GK,Mallorca,21-220,2000,2.0,77,69,76,1,0,0,54,1,1,100.0,1,0,28,140,60,0,0,0,0,0,28,28,100.0,0,Matches
478,Iván Romero\2fbe6af0,es ESP,FW,Sevilla,20-307,2001,1.9,58,0,1,28,31,7,55,1,3,33.3,1,0,43,140,57,4,1,1,6,6,77,39,50.6,21,Matches
479,Rubén\35d4f151,es ESP,DF,Espanyol,21-007,2001,0.2,16,1,4,11,2,0,16,1,1,100.0,1,0,9,69,45,1,0,0,0,0,9,9,100.0,1,Matches
480,Aitor Ruibal\a55d8df5,es ESP,FWDF,Betis,25-326,1996,5.7,259,6,52,114,115,19,247,8,21,38.1,12,0,183,735,461,27,5,3,11,8,261,181,69.3,33,Matches
481,Isma Ruiz\6e36226f,es ESP,MF,Granada,20-362,2001,2.0,84,3,27,48,13,1,83,1,1,100.0,1,0,50,279,149,6,0,0,0,3,55,51,92.7,1,Matches
482,Víctor Ruiz\b3dc6eca,es ESP,DF,Betis,33-017,1989,11.1,714,99,382,354,23,5,689,2,2,100.0,2,0,393,2305,1118,25,4,0,3,3,447,441,98.7,0,Matches
483,Gerónimo Rulli\625c144a,ar ARG,GK,Villarreal,29-267,1992,21.0,902,745,900,4,0,0,709,0,0,,0,0,533,2405,1504,0,0,0,1,1,499,496,99.4,0,Matches
484,Franco Russo\b75ac54b,ar ARG,DF,Mallorca,27-109,1994,14.4,758,128,421,344,32,17,722,4,7,57.1,4,1,376,2177,891,23,2,0,6,1,430,405,94.2,5,Matches
