,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
81,Danny da Costa\5ddb8f9f,de GER,DF,Eint Frankfurt,28-213,1993,5.3,4,0.76,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
82,Tanguy Coulibaly\05ba9d7c,fr FRA,DFFW,Stuttgart,20-358,2001,10.9,18,1.64,10,0,3,0,3,2,1,0.09,1,0,0,0,0,0,Matches
83,Mickaël Cuisance\5722eced,fr FRA,MF,Bayern Munich,22-179,1999,0.1,4,27.69,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
84,Matheus Cunha\dc62b55d,br BRA,FW,Hertha BSC,22-260,1999,0.7,3,4.22,1,0,0,2,0,0,1,1.41,0,0,0,1,0,0,Matches
85,Rafael Czichos\b0a0698b,de GER,DF,Köln,31-273,1990,15.6,7,0.45,6,0,0,0,0,1,2,0.13,1,0,0,0,0,1,Matches
86,Lennart-Marten Czyborra\7ba1f1ef,de GER,DF,Arminia,22-284,1999,1.5,1,0.69,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,Moanes Dabbur\eac044ad,il ISR,FWMF,Hoffenheim,29-273,1992,8.9,25,2.81,18,0,1,3,1,2,6,0.67,5,0,0,0,0,1,Matches
88,Mahmoud Dahoud\db4ed67b,de GER,MF,Dortmund,26-041,1996,13.3,34,2.56,27,5,1,0,0,1,4,0.30,3,0,1,0,0,0,Matches
89,Márton Dárdai\41bff4fa,de GER,DF,Hertha BSC,19-364,2002,7.0,4,0.57,1,3,0,0,0,0,1,0.14,0,1,0,0,0,0,Matches
90,Vladimír Darida\3eb0f2df,cz CZE,MF,Hertha BSC,31-187,1990,12.0,32,2.67,24,4,0,2,2,0,5,0.42,5,0,0,0,0,0,Matches
91,Alphonso Davies\d781d855,ca CAN,DF,Bayern Munich,21-101,2000,14.1,43,3.06,31,3,6,2,0,1,5,0.36,3,1,1,0,0,0,Matches
92,Saulo Decarli\41df88b8,ch SUI,DF,Bochum,30-007,1992,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
93,Thomas Delaney\fe641c1a,dk DEN,MF,Dortmund,30-161,1991,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
94,Kerem Demirbay\54b4dc4e,de GER,MF,Leverkusen,28-223,1993,16.2,54,3.34,22,26,2,2,2,0,6,0.37,5,1,0,0,0,0,Matches
95,Ermedin Demirović\ed79b7d3,ba BIH,FWMF,Freiburg,23-323,1998,5.0,7,1.40,6,0,0,1,0,0,3,0.60,3,0,0,0,0,0,Matches
96,Mike van der Hoorn\25f50295,nl NED,DF,Arminia,29-119,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
97,Moussa Diaby\aeed5c06,fr FRA,FWMF,Leverkusen,22-219,1999,17.9,55,3.07,48,0,5,0,1,1,9,0.50,9,0,0,0,0,0,Matches
98,Daniel Didavi\d3096421,de GER,FWMF,Stuttgart,31-355,1990,3.1,12,3.90,9,0,2,0,1,0,1,0.32,1,0,0,0,0,0,Matches
99,Javairô Dilrosun\34a0f5ff,nl NED,FW,Hertha BSC,23-234,1998,1.5,1,0.65,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
100,Lee Dongjun\96d0b6f0,kr KOR,MF,Hertha BSC,25-010,1997,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
101,Niklas Dorsch\7f73bdf4,de GER,MF,Augsburg,24-027,1998,16.2,20,1.23,13,2,0,1,0,4,2,0.12,2,0,0,0,0,0,Matches
102,Ondrej Duda\79ca3e23,sk SVK,MF,Köln,27-068,1994,14.4,47,3.25,28,2,8,3,4,2,1,0.07,0,0,1,0,0,0,Matches
103,Jeremy Dudziak\5a8d6540,tn TUN,MFFW,Greuther Fürth,26-167,1995,9.8,23,2.34,13,2,2,2,4,0,3,0.31,0,0,1,0,2,0,Matches
104,Erik Durm\cf623c78,de GER,DF,Eint Frankfurt,29-275,1992,5.3,6,1.14,6,0,0,0,0,0,2,0.38,2,0,0,0,0,0,Matches
105,Maximilian Eggestein\beb882a8,de GER,MF,Freiburg,25-065,1996,13.0,25,1.93,19,2,0,2,0,2,3,0.23,3,0,0,0,0,0,Matches
106,Lilian Egloff\2f7fec15,de GER,FWMF,Stuttgart,19-175,2002,0.3,1,3.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
107,Kingsley Ehizibue\76b2817e,nl NED,DF,Köln,26-262,1995,3.4,6,1.77,6,0,0,0,0,0,1,0.30,1,0,0,0,0,0,Matches
108,Jurgen Ekkelenkamp\73d6a176,nl NED,MFFW,Hertha BSC,21-312,2000,6.8,13,1.90,10,0,0,1,1,1,0,0.00,0,0,0,0,0,0,Matches
109,Nico Elvedi\48035304,ch SUI,DF,M'Gladbach,25-134,1996,17.3,8,0.46,5,2,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
110,Breel Embolo\0b4f388a,ch SUI,FW,M'Gladbach,24-362,1997,13.2,49,3.72,32,0,2,2,11,2,2,0.15,1,0,0,1,0,0,Matches
111,Keita Endo\1a83027b,jp JPN,MF,Union Berlin,24-081,1997,0.4,2,4.62,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
112,Wataru Endo\c149016b,jp JPN,MF,Stuttgart,29-002,1993,20.8,35,1.68,26,0,2,3,2,2,2,0.10,2,0,0,0,0,0,Matches
113,Michael Esser\83e0eeb4,de GER,GK,Bochum,34-081,1987,1.0,1,1.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
114,Wahidullah Faghir\93c9e7d9,dk DEN,FW,Stuttgart,18-197,2003,1.4,4,2.93,1,0,2,0,0,1,1,0.73,0,0,1,0,0,0,Matches
115,Ömer Faruk Beyaz\8307b663,tr TUR,FWDF,Stuttgart,18-166,2003,0.8,2,2.54,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Adrian Fein\60097ff6,de GER,MF,Greuther Fürth,22-330,1999,0.4,1,2.81,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
117,Ohis Felix Uduokhai\677da306,de GER,DF,Augsburg,24-155,1997,5.6,2,0.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
118,Edimilson Fernandes\3bb625ac,ch SUI,DFFW,Arminia,25-302,1996,3.1,10,3.18,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
119,Alfreð Finnbogason\f9e7c4ac,is ISL,FWMF,Augsburg,33-010,1989,1.6,3,1.82,2,0,0,1,0,0,2,1.22,1,0,0,1,0,0,Matches
120,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,28-243,1993,19.0,5,0.26,4,1,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
121,Emil Forsberg\9a2e0ccc,se SWE,MFFW,RB Leipzig,30-111,1991,10.6,35,3.29,24,4,5,2,0,0,1,0.09,1,0,0,0,0,0,Matches
