,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
60,Jon Bautista\debc6b55,es ESP,FWMF,Real Sociedad,26-223,1995,0.5,3,0,0,2,1,0,1,0.0,1,16,2,12.5,0,6,10,1,0,0,1,1,4,1,0,Matches
61,Bebé\d8712bf9,pt POR,FWMF,Rayo Vallecano,31-214,1990,4.0,4,1,2,1,1,2,4,50.0,2,52,12,23.1,14,16,22,11,0,0,11,4,8,4,0,Matches
62,Héctor Bellerín\f874dd44,es ESP,DF,Betis,26-329,1995,14.7,32,15,16,11,5,22,35,62.9,13,154,51,33.1,59,65,30,22,0,0,22,17,49,44,1,Matches
63,Fran Beltrán\ed5c5fa3,es ESP,MF,Celta Vigo,23-008,1999,16.4,44,27,17,20,7,20,47,42.6,27,327,129,39.4,116,164,47,27,0,0,27,32,76,22,0,Matches
64,Darío Benedetto\bef0a7ac,ar ARG,FW,Elche,31-270,1990,6.6,4,0,2,1,1,1,4,25.0,3,77,16,20.8,7,49,21,4,0,0,4,2,6,2,0,Matches
65,Iker Benito\50cbc806,es ESP,MFFW,Osasuna,19-185,2002,0.3,1,1,1,0,0,0,0,,0,6,2,33.3,1,0,5,5,0,0,5,0,1,1,0,Matches
66,Pedro Benito\a7416105,es ESP,FW,Cádiz,21-321,2000,0.3,0,0,0,0,0,0,1,0.0,1,15,2,13.3,0,10,5,0,0,0,0,0,0,0,0,Matches
67,Karim Benzema\70d74ece,fr FRA,FW,Real Madrid,34-054,1987,18.9,9,5,2,5,2,1,7,14.3,6,171,42,24.6,15,58,98,6,0,0,6,5,14,11,0,Matches
68,Yuri Berchiche\b6e50615,es ESP,MF,Athletic Club,32-001,1990,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
69,Álex Berenguer\dc1c2fce,es ESP,MF,Athletic Club,26-222,1995,13.9,25,17,12,6,7,8,32,25.0,24,356,84,23.6,86,166,104,35,2,0,33,14,39,9,0,Matches
70,Pedro Bigas\697295b1,es ESP,DF,Elche,31-149,1990,10.1,16,13,13,2,1,5,11,45.5,6,85,30,35.3,60,21,4,14,11,0,3,18,34,54,1,Matches
71,Blanco\506daeac,es ESP,MF,Real Madrid,21-203,2000,0.3,0,0,0,0,0,0,1,0.0,1,9,2,22.2,6,3,0,1,1,0,0,2,2,1,1,Matches
72,Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,30-312,1991,18.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
73,Lucas Boyé\d49f3e6b,ar ARG,FW,Elche,25-348,1996,15.1,22,12,3,16,3,4,12,33.3,8,254,67,26.4,22,140,92,16,2,0,14,9,31,13,0,Matches
74,Martin Braithwaite\fd771f95,dk DEN,FW,Barcelona,30-251,1991,2.5,1,1,0,0,1,0,0,,0,26,12,46.2,3,9,14,3,0,0,3,0,1,4,0,Matches
75,Darko Brašanac\4accb7e0,rs SRB,MF,Osasuna,29-364,1992,17.2,22,15,10,8,4,4,26,15.4,22,294,82,27.9,56,129,109,22,4,0,18,15,37,19,0,Matches
76,Claudio Bravo\10072610,cl CHI,GK,Betis,38-304,1983,9.0,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,0,0,0,0,0,0,1,0,Matches
77,Yan Brice Eteki\3d688b46,cm CMR,MF,Granada,24-169,1997,1.5,3,2,1,2,0,1,3,33.3,2,37,10,27.0,9,22,6,1,1,0,0,2,5,3,1,Matches
78,Bryan\7b5ab7f2,es ESP,FWMF,Valencia,21-000,2001,1.0,0,0,0,0,0,0,1,0.0,1,18,5,27.8,1,7,10,0,0,0,0,3,3,0,0,Matches
79,Ante Budimir\8f3565b3,hr CRO,FW,Osasuna,30-204,1991,7.3,7,4,0,4,3,0,3,0.0,3,126,37,29.4,11,43,72,17,5,0,12,3,10,6,0,Matches
80,Sergio Busquets\5ab0ea87,es ESP,MF,Barcelona,33-210,1988,20.6,59,43,22,32,5,30,49,61.2,19,349,133,38.1,112,186,51,31,3,0,28,24,83,27,0,Matches
81,Adrián Butzke\505dce2b,es ESP,FW,Granada,22-318,1999,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
82,Erick Cabaco\e7ab4179,uy URU,DF,Getafe,26-298,1995,2.7,1,0,0,1,0,1,2,50.0,1,23,8,34.8,14,9,0,4,1,0,3,4,5,9,0,Matches
83,Leandro Cabrera\69cbc8b6,uy URU,DF,Espanyol,30-239,1991,22.0,17,10,11,6,0,9,18,50.0,9,135,31,23.0,84,44,7,25,13,1,12,37,54,145,3,Matches
84,Martín Cáceres\e94d79e3,uy URU,DF,Levante,34-310,1987,0.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,2,2,0,0,1,1,0,0,Matches
85,Cala\fe05804b,es ESP,DF,Cádiz,32-077,1989,10.0,15,8,12,3,0,8,14,57.1,6,85,26,30.6,62,19,4,18,8,0,10,21,36,57,1,Matches
86,Calderón\da4e70e5,es ESP,DF,Betis,22-035,2000,0.7,1,1,1,0,0,0,2,0.0,2,2,0,0.0,1,0,1,2,0,0,2,1,2,1,0,Matches
87,Fernando Calero\41b3069f,es ESP,DF,Espanyol,26-150,1995,2.3,4,2,2,2,0,2,2,100.0,0,24,13,54.2,17,7,0,1,1,0,0,6,10,9,0,Matches
88,Víctor Camarasa\b2d03887,es ESP,MFFW,Betis,27-259,1994,1.2,1,1,1,0,0,0,1,0.0,1,19,4,21.1,6,9,4,3,1,0,2,3,4,2,0,Matches
89,Eduardo Camavinga\7b9c2d84,fr FRA,MF,Real Madrid,19-093,2002,5.7,20,14,7,9,4,7,18,38.9,11,176,45,25.6,64,82,30,12,1,0,11,2,22,7,0,Matches
90,José Campaña\61220da2,es ESP,MF,Levante,28-256,1993,11.4,21,10,10,10,1,10,24,41.7,14,186,55,29.6,53,96,37,11,2,0,9,21,42,4,0,Matches
91,Sergio Canales\a6de370d,es ESP,FWMF,Betis,30-360,1991,19.3,20,16,6,10,4,5,21,23.8,16,198,62,31.3,44,99,55,14,1,0,13,12,32,9,0,Matches
92,Álex Cantero\4aa253fd,es ESP,FWMF,Levante,21-248,2000,3.5,3,3,2,0,1,1,2,50.0,1,85,23,27.1,9,35,41,0,0,0,0,0,3,0,0,Matches
93,Étienne Capoue\5acc4a10,fr FRA,MF,Villarreal,33-215,1988,17.1,38,24,19,18,1,9,22,40.9,13,224,74,33.0,76,119,29,14,3,0,11,26,64,38,0,Matches
94,Isaac Carcelen\c4b888df,es ESP,DFMF,Cádiz,28-294,1993,15.3,46,21,32,12,2,24,53,45.3,29,256,73,28.5,123,107,26,40,6,0,34,38,84,43,0,Matches
95,Cárdenas\e1846dde,es ESP,GK,Levante,24-320,1997,9.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,0,Matches
96,Carlo\8249ff06,es ESP,MF,Villarreal,20-364,2001,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
97,Diego Carlos\b4a014b1,br BRA,DF,Sevilla,28-333,1993,22.0,31,27,20,9,2,8,13,61.5,5,135,57,42.2,79,47,9,41,24,0,17,34,65,94,4,Matches
98,Yannick Carrasco\de39485a,be BEL,DFMF,Atlético Madrid,28-160,1993,18.5,18,13,7,7,4,14,33,42.4,19,192,60,31.3,50,72,70,9,3,0,6,24,42,9,0,Matches
99,Guido Carrillo\8f898ba8,ar ARG,FWMF,Elche,30-262,1991,5.9,6,3,3,2,1,1,5,20.0,4,108,32,29.6,14,65,29,6,2,0,4,3,9,11,0,Matches
100,Dani Carvajal\4958bfb2,es ESP,DF,Real Madrid,30-031,1992,9.5,21,13,9,8,4,7,16,43.8,9,139,38,27.3,54,52,33,20,7,0,13,16,37,18,2,Matches
101,William Carvalho\dee86451,pt POR,MF,Betis,29-310,1992,11.5,27,20,12,15,0,10,21,47.6,11,169,50,29.6,61,95,13,15,5,0,10,13,40,17,0,Matches
