,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
88,Lilian Brassier\5b146df3,fr FRA,DF,Brest,22-101,1999,13.1,795,118,460,357,30,11,771,1,2,50.0,1,1,499,3364,1927,44,7,0,6,2,514,505,98.2,0,Matches
89,Jimmy Briand\f83c8d6c,fr FRA,FWMF,Bordeaux,36-193,1985,2.0,100,2,18,51,43,12,96,0,1,0.0,0,0,51,184,93,5,5,1,11,5,99,66,66.7,24,Matches
90,Dylan Bronn\edd81e2a,tn TUN,DF,Metz,26-237,1995,17.0,858,95,437,448,32,11,820,7,9,77.8,7,0,535,2548,1599,32,4,0,4,4,556,541,97.3,1,Matches
91,Osman Bukari\eab85789,gh GHA,FWMF,Nantes,23-060,1998,6.4,250,5,31,82,159,29,247,16,28,57.1,16,0,183,1188,689,35,7,6,21,7,238,161,67.6,47,Matches
92,Maxime Busi\7b082ec2,be BEL,DF,Reims,22-120,1999,2.5,138,9,45,56,50,3,120,3,3,100.0,3,1,91,665,461,23,6,2,4,1,104,94,90.4,2,Matches
93,Oriol Busquets\49712367,es ESP,MF,Clermont Foot,23-022,1999,0.9,71,4,26,38,13,0,69,2,2,100.0,2,0,47,226,73,2,2,0,0,3,55,51,92.7,0,Matches
94,Marcin Bułka\db87a2c4,pl POL,GK,Nice,22-130,1999,1.0,23,22,23,0,0,0,16,0,0,,0,0,10,47,18,0,0,0,0,0,9,9,100.0,0,Matches
95,Jimmy Cabot\46359159,fr FRA,DF,Angers,27-299,1994,20.6,1629,60,481,816,473,31,1425,49,94,52.1,53,7,1103,6682,4135,169,51,12,39,41,1118,1019,91.1,57,Matches
96,Anthony Caci\0118c54c,fr FRA,DF,Strasbourg,24-225,1997,17.0,1246,60,375,668,276,23,1110,15,25,60.0,15,1,762,3910,2285,96,21,6,15,12,829,766,92.4,24,Matches
97,Mathieu Cafaro\2a657da0,fr FRA,FWMF,Reims,24-323,1997,2.1,104,2,21,40,49,8,88,0,2,0.0,0,1,49,254,141,8,2,1,3,3,82,60,73.2,13,Matches
98,Yannick Cahuzac\677ee102,fr FRA,MF,Lens,37-024,1985,6.7,278,12,52,203,38,6,272,1,2,50.0,1,0,170,710,359,15,6,1,0,3,216,195,90.3,14,Matches
99,Marc-Aurèle Caillard\5ee6e943,fr FRA,GK,Metz,27-275,1994,5.0,140,132,140,0,0,0,80,0,0,,0,0,31,150,86,0,0,0,0,1,25,24,96.0,0,Matches
100,Jens Cajuste\928a4a61,se SWE,MF,Reims,22-185,1999,1.2,58,3,15,39,10,4,58,1,2,50.0,1,0,40,182,108,4,2,0,6,5,53,46,86.8,3,Matches
101,Duje Ćaleta-Car\94f8d10c,hr CRO,DF,Marseille,25-147,1996,11.2,948,106,436,536,27,9,919,0,0,,0,0,663,3166,1792,68,5,0,1,1,755,749,99.2,1,Matches
102,Lucas Calodat\7a72e960,fr FRA,DF,Saint-Étienne,20-005,2002,0.0,2,0,1,1,0,0,2,0,0,,0,0,2,9,7,0,0,0,0,0,2,2,100.0,0,Matches
103,Mahdi Camara\8577e60a,fr FRA,MFDF,Saint-Étienne,23-226,1998,20.4,1264,48,356,726,282,23,1176,14,36,38.9,17,1,797,4032,2254,107,37,4,17,23,857,788,91.9,25,Matches
104,Mamadou Camara\316e70c7,fr FRA,FW,Troyes,21-004,2001,0.4,14,1,2,6,6,0,14,0,1,0.0,0,0,9,50,21,1,0,0,1,1,16,12,75.0,2,Matches
105,Eduardo Camavinga\7b9c2d84,fr FRA,MF,Rennes,19-093,2002,1.6,91,3,22,60,17,1,89,0,0,,0,0,65,300,154,7,3,0,2,3,75,67,89.3,5,Matches
106,Fali Candé\3cc4bb19,gw GNB,DF,Metz,24-018,1998,1.0,69,1,24,33,15,0,57,0,4,0.0,0,0,41,121,53,2,0,0,3,0,44,39,88.6,2,Matches
107,Pierrick Capelle\79b2399c,fr FRA,MFDF,Angers,34-302,1987,7.8,468,27,137,253,105,7,424,8,12,66.7,9,0,290,1528,756,23,13,2,10,19,308,285,92.5,19,Matches
108,Maxence Caqueret\f81ef10d,fr FRA,MF,Lyon,21-361,2000,18.9,1313,50,290,866,249,12,1290,22,38,57.9,24,0,837,3946,1955,79,35,2,26,24,982,907,92.4,32,Matches
109,Irvin Cardona\5e080f73,fr FRA,FW,Brest,24-187,1997,10.0,330,18,58,138,153,47,316,11,25,44.0,12,1,205,1069,618,25,11,6,31,12,381,218,57.2,64,Matches
110,Igor Carioca\e3e32fbb,br BRA,DF,Lorient,25-174,1996,14.8,795,31,203,352,293,20,658,11,22,50.0,11,1,449,2396,1441,76,21,8,19,13,524,444,84.7,41,Matches
111,Moreto Cassamã\f54d2149,gw GNB,MF,Reims,23-360,1998,8.6,530,23,140,323,102,7,506,10,19,52.6,11,3,368,1668,768,27,9,1,6,15,392,360,91.8,6,Matches
112,Jean-Charles Castelletto\e0f3a1f6,cm CMR,DF,Nantes,27-016,1995,15.9,761,72,377,387,34,12,740,2,2,100.0,2,0,442,2043,1063,30,3,1,3,2,457,448,98.0,0,Matches
113,Zeki Çelik\31a62dc7,tr TUR,DF,Lille,24-359,1997,17.2,1170,49,343,640,267,29,1018,14,23,60.9,16,2,685,3769,2295,100,30,5,16,8,771,724,93.9,34,Matches
114,Fabien Centonze\3c6bbbab,fr FRA,DF,Metz,26-026,1996,17.0,1014,71,356,464,261,17,879,34,53,64.2,34,1,594,3431,2085,100,22,3,30,21,617,555,90.0,29,Matches
115,Leonardo César Jardim\f5dfc256,br BRA,GK,Lille,26-328,1995,2.0,56,49,55,1,0,0,46,0,0,,0,0,28,150,82,0,0,0,0,0,21,20,95.2,0,Matches
116,Nassim Chadli\5c61496e,fr FRA,MFDF,Troyes,20-198,2001,1.1,75,0,20,23,42,3,67,6,10,60.0,7,1,49,179,128,7,5,0,5,8,51,43,84.3,6,Matches
117,Mehdi Chahiri\1787195f,ma MAR,MF,Strasbourg,25-201,1996,0.2,11,0,2,3,7,3,10,0,1,0.0,1,0,6,26,17,1,1,0,0,1,9,5,55.6,1,Matches
118,Dylan Chambost\dbde4959,fr FRA,MFFW,Troyes,24-176,1997,7.2,465,10,86,278,128,10,446,2,3,66.7,2,0,289,1269,674,19,11,0,5,7,385,338,87.8,31,Matches
119,Brendan Chardonnet\16aa7d4c,fr FRA,DF,Brest,27-051,1994,19.0,1077,209,680,446,32,11,1032,0,1,0.0,0,0,605,3190,1814,40,11,0,1,1,636,623,98.0,1,Matches
120,Xavier Chavalerin\279ddf6a,fr FRA,MFDF,Reims,30-341,1991,2.4,117,8,34,59,34,6,105,1,1,100.0,1,0,58,301,116,3,4,0,0,1,79,68,86.1,4,Matches
121,Xavier Chavalerin\279ddf6a,fr FRA,MF,Troyes,30-341,1991,17.0,781,46,231,382,205,28,751,12,15,80.0,14,0,454,1896,853,29,11,3,21,10,599,521,87.0,34,Matches
122,Rayan Cherki\b34c63a5,fr FRA,FWMF,Lyon,18-178,2003,4.9,338,1,21,166,180,30,296,9,28,32.1,10,2,239,1626,1071,61,13,13,13,17,330,255,77.3,44,Matches
123,Pedro Chirivella\68a26d51,es ESP,MF,Nantes,24-264,1997,20.4,1247,16,217,825,249,15,1211,6,9,66.7,6,0,750,2952,1272,52,13,1,8,6,973,901,92.6,42,Matches
124,Joris Chotard\7909ffa4,fr FRA,MF,Montpellier,20-140,2001,20.5,958,103,396,521,87,11,941,7,13,53.8,7,1,550,2446,1110,33,4,1,5,9,606,568,93.7,13,Matches
125,Alexis Claude-Maurice\741418c3,fr FRA,MF,Nice,23-250,1998,2.1,128,2,12,51,71,11,120,3,8,37.5,3,1,82,337,182,10,4,1,2,4,98,87,88.8,14,Matches
126,Jonathan Clauss\5219ab4a,fr FRA,DF,Lens,29-139,1992,20.5,1324,45,253,551,602,34,1008,19,34,55.9,21,1,637,3418,2193,120,46,6,19,7,821,687,83.7,88,Matches
127,Marcus Coco\3010aefb,fr FRA,FWMF,Nantes,25-232,1996,5.5,259,7,52,123,104,15,254,6,16,37.5,8,1,174,857,504,26,8,6,21,13,257,171,66.5,23,Matches
128,Abdu Conté\cfa49cc1,pt POR,DFMF,Troyes,23-324,1998,3.0,165,6,49,63,63,3,136,3,6,50.0,3,0,102,426,185,9,3,1,2,4,129,95,73.6,13,Matches
129,Sébastien Corchia\0e7ccfc4,fr FRA,DF,Nantes,31-102,1990,8.2,421,19,108,159,181,8,316,2,9,22.2,2,0,209,1228,688,40,13,3,12,10,219,187,85.4,20,Matches
130,Maxwel Cornet\beb391dd,ci CIV,DFMF,Lyon,25-137,1996,0.7,45,2,13,22,15,0,42,1,2,50.0,1,0,34,172,85,2,2,0,0,0,34,32,94.1,0,Matches
131,David Pereira da Costa\59948ef7,pt POR,FWMF,Lens,21-037,2001,7.1,419,5,48,231,167,23,399,19,22,86.4,20,2,328,1640,876,45,13,5,12,8,389,324,83.3,50,Matches
