,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
63,João Cancelo\bd6351cd,pt POR,DF,Manchester City,27-260,1994,22.9,50,31,18,18,14,23,53,43.4,30,205,64,31.2,65,82,58,31,3,0,28,49,99,39,0,Matches
64,Sergi Canós\1137759d,es ESP,DF,Brentford,25-009,1997,19.0,50,17,25,15,10,21,52,40.4,31,373,92,24.7,159,146,68,28,1,0,27,27,77,30,0,Matches
65,Todd Cantwell\f63d8a4b,eng ENG,FWMF,Norwich City,23-349,1998,4.9,15,11,8,6,1,4,14,28.6,10,106,25,23.6,39,46,21,2,0,0,2,4,19,3,0,Matches
66,Matty Cash\2389cdc2,pl POL,DF,Aston Villa,24-188,1997,21.8,61,30,38,21,2,27,46,58.7,19,314,94,29.9,158,129,27,54,9,0,45,57,118,56,0,Matches
67,Timothy Castagne\197640fd,be BEL,DF,Leicester City,26-068,1995,14.1,37,11,16,16,5,15,30,50.0,15,217,60,27.6,96,97,24,34,4,0,30,25,62,41,2,Matches
68,Craig Cathcart\89e4b358,nir NIR,DF,Watford,33-005,1989,18.3,20,9,16,4,0,8,21,38.1,13,117,35,29.9,79,35,3,40,23,0,17,25,45,90,1,Matches
69,Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,34-362,1987,6.7,4,2,0,3,1,3,6,50.0,3,78,29,37.2,14,32,32,7,0,0,7,8,12,5,0,Matches
70,Trevoh Chalobah\5515376c,eng ENG,DF,Chelsea,22-221,1999,10.1,24,14,8,12,4,12,18,66.7,6,111,40,36.0,40,61,10,15,8,1,7,27,51,38,1,Matches
71,Calum Chambers\dc6f5bdd,eng ENG,DF,Aston Villa,27-022,1995,0.0,1,1,0,0,1,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,1,0,0,Matches
72,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,27-022,1995,1.9,2,1,2,0,0,1,3,33.3,2,24,5,20.8,18,5,1,11,3,0,8,3,5,7,1,Matches
73,Ben Chilwell\d2424d1b,eng ENG,DF,Chelsea,25-052,1996,6.0,10,5,3,6,1,0,5,0.0,5,92,31,33.7,34,36,22,10,0,0,10,6,16,15,1,Matches
74,Chiquinho\dc6c2f02,pt POR,MF,Wolves,22-006,2000,0.3,1,1,1,0,0,1,1,100.0,0,8,3,37.5,3,3,2,2,0,0,2,0,1,1,0,Matches
75,Hamza Choudhury\7d2d3329,eng ENG,MFDF,Leicester City,24-133,1997,2.5,7,1,3,4,0,2,4,50.0,2,37,5,13.5,13,21,3,5,0,0,5,12,19,8,0,Matches
76,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,25-307,1996,11.1,10,9,6,2,2,4,6,66.7,2,99,36,36.4,61,34,4,23,8,0,15,43,53,67,0,Matches
77,Carney Chukwuemeka\b2f9c73e,eng ENG,MFFW,Aston Villa,18-035,2004,2.1,2,1,0,2,0,2,5,40.0,3,53,13,24.5,15,30,8,2,0,0,2,3,5,1,0,Matches
78,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,32-138,1989,11.3,17,13,9,6,2,9,15,60.0,6,76,27,35.5,53,19,4,14,10,0,4,14,31,49,0,Matches
79,Tom Cleverley\6cdd8245,eng ENG,MF,Watford,32-183,1989,9.9,18,13,7,8,3,4,13,30.8,9,173,57,32.9,36,96,41,16,6,1,10,11,29,8,0,Matches
80,Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,30-312,1991,1.0,3,1,2,1,0,1,4,25.0,3,9,4,44.4,6,2,1,2,1,0,1,2,5,2,0,Matches
81,Conor Coady\2928dca2,eng ENG,DF,Wolves,28-351,1993,21.8,20,14,15,5,0,9,18,50.0,9,114,44,38.6,80,29,5,36,27,2,9,21,41,91,0,Matches
82,Séamus Coleman\0420d84f,ie IRL,DF,Everton,33-123,1988,15.6,46,23,23,14,9,21,33,63.6,12,192,70,36.5,80,82,30,28,6,0,22,29,75,36,1,Matches
83,Nathan Collins\a8c19eb8,ie IRL,DF,Burnley,20-287,2001,5.0,12,9,10,2,0,2,5,40.0,3,44,18,40.9,29,11,4,16,8,0,8,12,24,26,0,Matches
84,Aaron Connolly\27c01749,ie IRL,FW,Brighton,22-014,2000,1.7,0,0,0,0,0,0,1,0.0,1,27,5,18.5,4,11,12,2,0,0,2,0,0,0,0,Matches
85,Liam Cooper\dc64b8b3,sct SCO,DF,Leeds United,30-165,1991,14.2,29,13,16,12,1,12,21,57.1,9,158,57,36.1,94,61,3,26,15,0,11,26,55,85,2,Matches
86,Jack Cork\74e12f1e,eng ENG,MF,Burnley,32-231,1989,7.1,9,4,2,5,2,4,13,30.8,9,148,45,30.4,38,74,36,12,2,0,10,12,21,10,0,Matches
87,Maxwel Cornet\beb391dd,ci CIV,FWMF,Burnley,25-137,1996,8.5,8,6,2,3,3,2,6,33.3,4,123,35,28.5,21,61,41,3,2,0,1,5,13,7,0,Matches
88,Hélder Costa\f13d02a6,ao ANG,MF,Leeds United,28-030,1994,0.2,0,0,0,0,0,0,2,0.0,2,9,2,22.2,1,5,3,0,0,0,0,0,0,0,0,Matches
89,Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,29-173,1992,17.9,36,18,19,10,7,11,25,44.0,14,231,63,27.3,106,83,42,37,4,0,33,26,62,56,0,Matches
90,Philippe Coutinho\0ef89a37,br BRA,FW,Aston Villa,29-244,1992,1.9,2,2,0,1,1,1,2,50.0,1,29,11,37.9,6,13,10,1,0,0,1,1,3,0,0,Matches
