,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
488,James Ward-Prowse\3515d404,eng ENG,MF,Southampton,27-102,1994,20.7,895,1151,77.8,16542,5084,386,417,92.6,377,437,86.3,117,266,44.0,4,3.3,+0.7,39,80,8,5,63,Matches
489,Ollie Watkins\aed3a70f,eng ENG,FW,Aston Villa,26-043,1995,18.0,316,428,73.8,4437,809,194,241,80.5,88,122,72.1,16,27,59.3,1,1.1,-0.1,17,19,12,0,29,Matches
490,Adam Webster\c40b6180,eng ENG,DF,Brighton,27-038,1995,11.0,705,837,84.2,15156,5336,182,207,87.9,410,446,91.9,105,165,63.6,0,0.1,-0.1,1,69,1,0,54,Matches
491,Wout Weghorst\c4e87b8b,nl NED,FW,Burnley,29-188,1992,2.0,37,54,68.5,416,126,25,31,80.6,7,12,58.3,1,3,33.3,1,0.4,+0.6,1,2,1,0,5,Matches
492,Danny Welbeck\ce5143da,eng ENG,FWMF,Brighton,31-077,1990,4.5,65,79,82.3,729,112,48,51,94.1,10,13,76.9,3,4,75.0,0,0.1,-0.1,1,2,3,0,5,Matches
493,Timo Werner\49fe9070,de GER,FW,Chelsea,25-342,1996,6.4,107,155,69.0,1427,277,68,83,81.9,32,44,72.7,2,9,22.2,1,0.2,+0.8,2,5,4,0,9,Matches
494,Ashley Westwood\495945ef,eng ENG,MF,Burnley,31-316,1990,17.8,626,866,72.3,13077,4372,233,266,87.6,256,322,79.5,127,249,51.0,3,3.1,-0.1,26,77,26,2,77,Matches
495,Ben White\35e413f1,eng ENG,DF,Arsenal,24-126,1997,20.0,875,1030,85.0,18124,5689,282,310,91.0,459,499,92.0,127,199,63.8,0,0.4,-0.4,7,67,3,0,48,Matches
496,Brandon Williams\5e74d6c8,eng ENG,DF,Norwich City,21-161,2000,15.6,618,759,81.4,11279,3983,254,282,90.1,308,368,83.7,52,91,57.1,1,0.6,+0.4,11,32,15,3,58,Matches
497,Neco Williams\dd323728,wls WAL,DF,Liverpool,20-304,2001,0.1,8,8,100.0,153,32,1,1,100.0,5,5,100.0,1,1,100.0,1,0.6,+0.4,1,0,0,0,0,Matches
498,Joe Willock\a3b03921,eng ENG,MF,Newcastle Utd,22-175,1999,13.7,269,340,79.1,4704,1209,134,162,82.7,99,118,83.9,29,43,67.4,0,0.9,-0.9,13,23,7,2,24,Matches
499,Callum Wilson\c596fcb0,eng ENG,FW,Newcastle Utd,29-349,1992,13.2,105,153,68.6,1552,289,51,72,70.8,37,50,74.0,6,11,54.5,0,0.4,-0.4,8,7,3,1,6,Matches
500,Harry Winks\2f7acede,eng ENG,MF,Tottenham,26-009,1996,6.8,369,429,86.0,7279,2310,144,154,93.5,161,178,90.4,57,84,67.9,1,1.5,-0.5,10,37,10,0,51,Matches
501,Yoane Wissa\2500cef9,cd COD,FWMF,Brentford,25-161,1996,5.7,76,110,69.1,1154,241,46,56,82.1,21,34,61.8,7,11,63.6,0,0.2,-0.2,3,4,4,1,8,Matches
502,Chris Wood\4e9a0555,nz NZL,FW,Burnley,30-066,1991,15.2,182,306,59.5,2667,568,120,187,64.2,47,81,58.0,12,15,80.0,0,0.2,-0.2,7,17,5,0,19,Matches
503,Chris Wood\4e9a0555,nz NZL,FW,Newcastle Utd,30-066,1991,3.0,43,79,54.4,494,111,33,51,64.7,8,20,40.0,1,2,50.0,0,0.1,-0.1,2,2,0,0,2,Matches
504,Freddie Woodman\19e50035,eng ENG,GK,Newcastle Utd,24-344,1997,4.0,74,123,60.2,2481,1475,8,8,100.0,34,34,100.0,31,80,38.8,0,0.0,0.0,0,6,0,0,0,Matches
505,Granit Xhaka\e61b8aee,ch SUI,MF,Arsenal,29-137,1992,10.2,463,538,86.1,8547,2414,195,215,90.7,198,223,88.8,61,80,76.3,1,0.7,+0.3,9,67,11,0,61,Matches
506,Andriy Yarmolenko\849c826a,ua UKR,FWMF,West Ham,32-111,1989,1.1,33,48,68.8,546,142,18,26,69.2,10,15,66.7,4,4,100.0,0,0.0,0.0,1,0,3,1,4,Matches
507,Ashley Young\be927d03,eng ENG,FWDF,Aston Villa,36-217,1985,8.3,231,302,76.5,4234,1301,110,130,84.6,88,109,80.7,31,53,58.5,2,0.2,+1.8,7,21,5,0,23,Matches
508,Wilfried Zaha\b2bc3b1f,ci CIV,FW,Crystal Palace,29-093,1992,16.5,419,547,76.6,6731,2044,217,264,82.2,153,193,79.3,37,53,69.8,1,3.0,-2.0,22,18,39,8,70,Matches
509,Oleksandr Zinchenko\51cf8561,ua UKR,DF,Manchester City,25-058,1996,5.6,438,483,90.7,7550,2032,215,227,94.7,179,189,94.7,41,52,78.8,1,0.5,+0.5,5,48,10,2,38,Matches
510,Hakim Ziyech\6622454d,ma MAR,FWMF,Chelsea,28-329,1993,8.7,284,396,71.7,4775,1614,152,175,86.9,97,129,75.2,25,65,38.5,2,2.1,-0.1,17,30,16,5,44,Matches
511,Kurt Zouma\ce4246f5,fr FRA,DF,West Ham,27-107,1994,12.8,429,496,86.5,9220,2595,117,127,92.1,243,266,91.4,67,101,66.3,0,0.0,0.0,0,9,1,0,19,Matches
512,Martin Ødegaard\79300479,no NOR,MF,Arsenal,23-056,1998,15.3,653,786,83.1,11466,2495,320,362,88.4,239,271,88.2,77,117,65.8,4,3.6,+0.4,38,40,30,1,72,Matches
