,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
373,Marco Richter\f972644c,de GER,FWMF,Hertha BSC,24-079,1997,12.6,20,10,6,7,7,8,20,40.0,12,179,54,30.2,50,82,47,23,3,0,20,23,43,12,0,Matches
374,Manuel Riemann\9f941969,de GER,GK,Bochum,33-155,1988,20.0,0,0,0,0,0,0,3,0.0,3,5,0,0.0,5,0,0,0,0,0,0,1,1,0,1,Matches
375,Marc Roca\da27e268,es ESP,MF,Bayern Munich,25-077,1996,3.7,8,7,2,4,2,2,6,33.3,4,93,33,35.5,19,55,19,6,0,0,6,7,15,2,0,Matches
376,Sebastian Rode\e12b0b5b,de GER,MF,Eint Frankfurt,31-123,1990,5.3,14,10,8,4,2,3,10,30.0,7,112,34,30.4,40,60,12,12,2,0,10,10,24,4,1,Matches
377,Romario Rösch\87ebfdb8,de GER,MF,Mainz 05,22-225,1999,0.0,0,0,0,0,0,0,0,,0,3,1,33.3,0,0,3,0,0,0,0,0,0,0,0,Matches
378,Jérôme Roussillon\13203c45,fr FRA,DF,Wolfsburg,29-036,1993,11.6,20,10,11,8,1,5,11,45.5,6,138,42,30.4,59,61,18,24,2,0,22,15,35,21,1,Matches
379,Sebastian Rudy\80f36c88,de GER,MF,Hoffenheim,31-348,1990,6.7,20,11,5,14,1,5,15,33.3,10,125,48,38.4,30,73,22,5,2,0,3,9,29,15,0,Matches
380,Georginio Rutter\c64c01fc,fr FRA,FWMF,Hoffenheim,19-297,2002,11.0,13,9,1,7,5,4,7,57.1,3,219,65,29.7,13,84,122,11,0,0,11,4,17,4,0,Matches
381,Julian Ryerson\009a4f60,no NOR,DF,Union Berlin,24-086,1997,8.6,16,5,4,10,2,9,17,52.9,8,134,33,24.6,60,53,21,14,4,0,10,9,25,14,0,Matches
382,Frederik Rønnow\a70b8345,dk DEN,GK,Union Berlin,29-191,1992,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
383,Marcel Sabitzer\e280527c,at AUT,MFFW,RB Leipzig,27-331,1994,0.5,1,1,1,0,0,1,1,100.0,0,5,2,40.0,1,4,0,1,0,0,1,1,2,0,0,Matches
384,Marcel Sabitzer\e280527c,at AUT,MFDF,Bayern Munich,27-331,1994,5.7,15,7,6,7,2,9,18,50.0,9,96,30,31.3,22,49,25,8,0,0,8,8,23,5,0,Matches
385,Roland Sallai\bf075f6b,hu HUN,MFFW,Freiburg,24-265,1997,8.2,13,7,5,4,4,2,11,18.2,9,121,40,33.1,28,48,45,8,0,0,8,11,24,5,0,Matches
