,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
40,Ibrahima Baldé\a30cb0d4,fr FRA,FWMF,Lens,19-025,2003,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
41,Leonardo Balerdi\7c3ed041,ar ARG,DF,Marseille,23-016,1999,9.7,0,1,0,0.0,0.10,0.00,0.00,,8.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
42,Jonathan Bamba\b2bd0f6c,fr FRA,MF,Lille,25-322,1996,14.8,0,21,7,33.3,1.42,0.47,0.00,0.00,18.5,0,0,0,1.5,1.5,0.07,-1.5,-1.5,Matches
43,Simon Banza\be47b750,fr FRA,FW,Lens,25-182,1996,1.4,1,6,4,66.7,4.35,2.90,0.17,0.25,14.4,0,0,0,1.2,1.2,0.20,-0.2,-0.2,Matches
44,Bradley Barcola\a0d55a09,fr FRA,MF,Lyon,19-162,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,Melvin Bard\1ddbc7ca,fr FRA,DF,Nice,21-097,2000,16.8,1,3,1,33.3,0.18,0.06,0.33,1.00,19.6,0,0,0,0.7,0.7,0.25,+0.3,+0.3,Matches
46,Toma Bašić\80556f08,hr CRO,MF,Bordeaux,25-078,1996,2.3,0,2,0,0.0,0.86,0.00,0.00,,30.2,1,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
47,Amine Bassi\ced1d98f,fr FRA,MF,Metz,24-076,1997,2.0,0,4,1,25.0,1.96,0.49,0.00,0.00,25.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
48,Mohamed Bayo\01870104,gn GUI,FW,Clermont Foot,23-252,1998,15.5,9,39,18,46.2,2.51,1.16,0.21,0.44,12.3,0,1,1,8.2,7.4,0.19,+0.8,+0.6,Matches
49,Haris Belkebla\2b1bed19,dz ALG,MF,Brest,28-014,1994,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
50,Jean-Ricner Bellegarde\10f0fdd3,fr FRA,MF,Strasbourg,23-229,1998,14.5,1,14,3,21.4,0.97,0.21,0.07,0.33,21.4,2,0,0,1.0,1.0,0.07,0.0,0.0,Matches
51,Hatem Ben Arfa\74dc806c,fr FRA,FW,Lille,34-341,1987,0.9,0,2,1,50.0,2.14,1.07,0.00,0.00,11.7,0,0,0,0.4,0.4,0.18,-0.4,-0.4,Matches
52,Wissam Ben Yedder\942b4f90,fr FRA,FW,Monaco,31-183,1990,15.2,14,27,13,48.1,1.77,0.85,0.30,0.62,15.3,1,6,6,9.4,4.9,0.18,+4.6,+3.1,Matches
53,Darío Benedetto\bef0a7ac,ar ARG,FWMF,Marseille,31-270,1990,0.6,0,3,0,0.0,5.00,0.00,0.00,,12.2,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
54,Walter Benítez\8a2248b4,ar ARG,GK,Nice,28-329,1993,22.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
55,Loris Benito\f5b6fb78,ch SUI,DF,Bordeaux,30-035,1992,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,Nabil Bentaleb\3189f61a,dz ALG,MF,Angers,27-079,1994,2.4,0,1,1,100.0,0.41,0.41,0.00,0.00,21.0,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
57,Patrick Berg\e4114f5d,no NOR,MF,Lens,24-079,1997,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
58,Mitchell van Bergen\0b2c9aec,nl NED,FWMF,Reims,22-168,1999,5.8,0,5,2,40.0,0.86,0.34,0.00,0.00,16.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
59,Valon Berisha\d5575935,xk KVX,MFFW,Reims,29-004,1993,3.8,0,2,0,0.0,0.53,0.00,0.00,,13.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
60,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,24-299,1997,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
61,Paul Bernardoni\28dabd43,fr FRA,GK,Saint-Étienne,24-299,1997,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
62,Juan Bernat\433dc9a2,es ESP,DF,Paris S-G,28-347,1993,5.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
63,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,23-250,1998,5.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
64,Jason Berthomier\03e91055,fr FRA,MF,Clermont Foot,32-036,1990,14.9,1,17,2,11.8,1.14,0.13,0.06,0.50,19.8,4,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
65,Giulian Biancone\de40e38c,fr FRA,DF,Troyes,21-317,2000,16.0,0,21,7,33.3,1.32,0.44,0.00,0.00,17.6,0,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches
66,El Bilal Touré\47c609d5,ml MLI,FW,Reims,20-131,2001,9.3,1,25,7,28.0,2.68,0.75,0.00,0.00,13.0,0,1,1,3.2,2.4,0.10,-2.2,-2.4,Matches
67,Jean-Claude Billong\a3e1d20d,cm CMR,DF,Clermont Foot,28-045,1993,4.7,0,3,1,33.3,0.64,0.21,0.00,0.00,8.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
68,Nathan Bitu Mazala\0f697e02,fr FRA,DF,Paris S-G,19-063,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
69,Marco Bizot\3d214e5f,nl NED,GK,Brest,30-338,1991,22.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
70,Ludovic Blas\6191093d,fr FRA,FWMF,Nantes,24-042,1997,20.2,7,53,20,37.7,2.62,0.99,0.09,0.25,19.3,0,2,2,6.8,5.3,0.10,+0.2,-0.3,Matches
