,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
60,Bjarki Bjarkason\f1d25de7,is ISL,FW,Venezia,21-276,2000,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,Matches
61,Jeremie Boga\fe012aca,ci CIV,MF,Atalanta,25-039,1997,0.4,20,18,2,1,0,3,0,0,0,0,0,0,16,2,2,1,17,1,1,0,17,0,1,2,0,Matches
62,Jeremie Boga\fe012aca,ci CIV,FWMF,Sassuolo,25-039,1997,7.4,269,267,2,0,0,69,3,14,1,0,0,0,218,37,14,38,219,9,1,1,219,1,2,5,13,Matches
63,Luka Bogdan\cb678320,hr CRO,DF,Salernitana,25-322,1996,5.4,123,111,12,5,0,9,1,2,0,0,0,0,69,13,41,28,77,8,7,1,88,1,1,1,4,Matches
64,Emil Bohinen\c83c203f,no NOR,MF,Salernitana,22-336,1999,0.3,12,12,0,0,0,3,0,1,0,0,0,0,9,1,2,7,4,1,0,0,9,0,0,0,1,Matches
65,Giacomo Bonaventura\d995ed27,it ITA,MF,Fiorentina,32-173,1989,19.8,981,940,41,18,3,148,33,15,17,0,12,1,743,96,142,237,696,27,2,6,813,4,11,41,18,Matches
66,Federico Bonazzoli\bf57eaab,it ITA,FW,Salernitana,24-266,1997,12.0,308,262,46,5,1,51,17,6,11,4,5,1,202,50,56,239,49,8,2,3,224,0,6,9,17,Matches
67,Kevin Bonifazi\fb77bfef,it ITA,DF,Bologna,25-268,1996,8.7,391,372,19,14,0,45,19,2,0,0,0,0,251,50,90,146,223,11,3,1,319,0,5,7,5,Matches
68,Leonardo Bonucci\52ec54d0,it ITA,DF,Juventus,34-286,1987,15.0,888,842,46,42,1,73,48,1,0,0,0,0,600,94,194,152,689,21,2,5,776,4,5,16,8,Matches
69,Mehdi Bourabia\0d077b88,ma MAR,MF,Spezia,30-188,1991,2.8,100,84,16,14,0,12,0,0,2,2,0,0,73,10,17,15,80,4,0,0,78,1,5,4,2,Matches
70,Edoardo Bove\ae94a6c5,it ITA,MFDF,Roma,19-271,2002,0.4,17,16,1,1,0,1,2,1,0,0,0,0,15,1,1,0,17,0,0,0,16,0,0,0,0,Matches
71,Josip Brekalo\d4a2533d,hr CRO,FWMF,Torino,23-233,1998,13.7,640,580,60,27,3,107,37,47,24,6,10,1,404,93,143,97,499,22,5,6,451,6,11,21,30,Matches
72,Gleison Bremer\5fd5ed86,br BRA,DF,Torino,24-330,1997,20.3,944,927,17,13,0,117,13,1,0,0,0,0,655,103,186,146,676,56,1,6,795,2,15,6,12,Matches
73,Marcelo Brozović\33b8d077,hr CRO,MF,Inter,29-087,1992,21.2,1727,1648,79,68,2,200,70,13,3,2,1,0,1340,184,203,309,1343,49,7,7,1584,2,10,34,11,Matches
74,Aleksander Buksa\59f2d958,pl POL,FW,Genoa,19-027,2003,0.7,16,15,1,0,0,5,0,1,0,0,0,0,9,3,4,8,3,1,0,1,7,0,0,3,0,Matches
75,Alessandro Buongiorno\4ae67f27,it ITA,DF,Torino,22-250,1999,9.0,388,377,11,10,1,47,4,4,0,0,0,0,271,39,78,280,45,33,1,1,312,1,17,9,7,Matches
76,Gianluca Busio\4a0b7f07,us USA,MF,Venezia,19-259,2002,16.4,721,677,44,27,0,101,32,10,13,4,8,0,527,75,119,75,600,23,4,2,608,4,10,15,17,Matches
77,Liberato Cacace\dd86e8e4,nz NZL,DF,Empoli,21-137,2000,0.2,14,10,4,0,0,0,0,0,0,0,0,0,6,4,4,8,2,0,4,0,11,0,0,0,0,Matches
78,Martín Cáceres\e94d79e3,uy URU,DF,Cagliari,34-310,1987,9.2,458,381,77,17,0,38,22,12,0,0,0,0,219,79,160,77,283,29,60,3,318,2,7,18,14,Matches
79,Felipe Caicedo\93b891d1,ec ECU,FW,Genoa,33-159,1988,3.2,77,73,4,0,2,30,0,1,0,0,0,0,42,21,14,48,11,4,0,4,53,0,2,7,2,Matches
80,Davide Calabria\2146785a,it ITA,DF,Milan,25-067,1996,11.2,606,519,87,6,0,59,12,21,0,0,0,0,342,116,148,62,434,23,81,0,464,3,5,20,18,Matches
81,Riccardo Calafiori\aded8e6f,it ITA,DF,Genoa,19-268,2002,0.6,14,9,5,0,0,3,0,0,0,0,0,0,3,4,7,5,0,3,5,0,7,0,2,1,1,Matches
82,Riccardo Calafiori\aded8e6f,it ITA,DF,Roma,19-268,2002,1.9,83,69,14,0,0,12,1,2,0,0,0,0,54,18,11,58,10,0,14,0,67,0,1,3,4,Matches
83,Mattia Caldara\ac7e640b,it ITA,DF,Venezia,27-282,1994,18.0,726,693,33,27,0,65,15,0,0,0,0,0,515,56,155,63,598,42,6,2,607,1,17,11,7,Matches
84,Hakan Çalhanoğlu\cd0fa27b,tr TUR,MF,Inter,28-003,1994,15.3,1060,938,122,23,4,132,68,30,88,32,43,6,760,88,212,85,934,22,6,7,866,3,11,31,21,Matches
85,José Callejón\78841da9,es ESP,FW,Fiorentina,35-000,1987,13.0,556,526,30,6,1,52,21,30,22,4,14,0,387,75,94,79,444,23,2,3,437,3,10,25,14,Matches
86,Andrea Cambiaso\247ed022,it ITA,DF,Genoa,21-356,2000,18.0,824,678,146,8,0,128,17,44,0,0,0,0,489,189,146,383,269,24,138,3,641,1,21,27,37,Matches
87,Matteo Cancellieri\b6a1cdf9,it ITA,MFDF,Hellas Verona,19-364,2002,1.9,35,34,1,0,0,7,1,3,0,0,0,0,23,7,5,22,6,2,1,0,20,0,1,2,2,Matches
88,Antonio Candreva\356c9002,it ITA,MFFW,Sampdoria,34-348,1987,22.8,1229,1052,177,48,1,135,98,126,83,13,47,3,598,192,439,197,961,16,46,8,799,11,34,51,63,Matches
89,Leonardo Capezzi\07ea0ef2,it ITA,MF,Salernitana,26-320,1995,1.9,48,44,4,2,0,6,0,0,1,0,0,0,34,9,5,5,38,3,1,0,41,0,0,0,3,Matches
90,Gianluca Caprari\54e53b7e,it ITA,FWMF,Hellas Verona,28-196,1993,17.3,782,725,57,8,5,148,20,38,42,18,8,4,594,87,101,102,654,18,6,1,586,9,18,39,32,Matches
91,Francesco Caputo\5bd72174,it ITA,FW,Sampdoria,34-189,1987,18.0,353,323,30,2,0,89,7,13,0,0,0,0,237,71,45,43,267,17,0,12,266,0,3,17,11,Matches
92,Francesco Caputo\5bd72174,it ITA,FW,Sassuolo,34-189,1987,1.7,35,32,3,0,0,8,0,0,0,0,0,0,26,7,2,3,27,3,0,1,28,0,0,2,1,Matches
93,Andrea Carboni\f7e2af2c,it ITA,DF,Cagliari,21-007,2001,19.5,858,819,39,28,1,78,23,16,0,0,0,0,560,68,230,674,92,48,10,2,652,4,26,24,21,Matches
94,Nicolò Casale\3f5f38fb,it ITA,DF,Hellas Verona,23-362,1998,17.7,744,697,47,24,0,77,6,10,1,0,1,0,525,96,123,112,516,63,22,1,611,3,12,16,19,Matches
95,Francesco Cassata\96960855,it ITA,MF,Genoa,24-210,1997,0.1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,Matches
96,Samu Castillejo\130a7a3f,es ESP,FWMF,Milan,27-024,1995,1.4,68,64,4,0,0,13,3,5,2,2,0,0,46,7,15,54,10,0,2,0,56,0,0,0,2,Matches
