,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
61,Jeremie Boga\fe012aca,ci CIV,MF,Atalanta,25-039,1997,0.4,25,0,1,12,14,2,23,1,1,100.0,1,0,21,174,115,7,2,1,3,0,28,22,78.6,4,Matches
62,Jeremie Boga\fe012aca,ci CIV,FWMF,Sassuolo,25-039,1997,7.4,366,1,55,193,171,38,364,24,47,51.1,26,2,327,2363,1536,70,24,21,21,10,357,299,83.8,36,Matches
63,Luka Bogdan\cb678320,hr CRO,DF,Salernitana,25-322,1996,5.4,173,37,115,55,9,4,162,1,1,100.0,1,0,71,254,114,3,1,0,2,1,86,84,97.7,1,Matches
64,Emil Bohinen\c83c203f,no NOR,MF,Salernitana,22-336,1999,0.3,14,0,0,6,8,1,14,0,1,0.0,0,0,10,33,14,1,0,0,1,0,13,11,84.6,1,Matches
65,Giacomo Bonaventura\d995ed27,it ITA,MF,Fiorentina,32-173,1989,19.8,1175,18,195,660,439,61,1137,20,35,57.1,23,1,895,4991,2793,143,60,17,28,21,1007,906,90.0,83,Matches
66,Federico Bonazzoli\bf57eaab,it ITA,FW,Salernitana,24-266,1997,12.0,459,5,40,250,201,31,412,14,25,56.0,14,0,307,1635,774,32,15,2,24,17,500,305,61.0,60,Matches
67,Kevin Bonifazi\fb77bfef,it ITA,DF,Bologna,25-268,1996,8.7,475,61,216,258,41,7,457,7,8,87.5,7,0,315,2082,1006,26,7,0,3,5,300,295,98.3,0,Matches
68,Leonardo Bonucci\52ec54d0,it ITA,DF,Juventus,34-286,1987,15.0,1015,181,561,464,31,17,968,1,2,50.0,1,0,582,2295,1081,11,0,0,1,1,745,727,97.6,0,Matches
69,Mehdi Bourabia\0d077b88,ma MAR,MF,Spezia,30-188,1991,2.8,137,20,49,76,15,0,123,4,8,50.0,4,1,76,283,166,8,2,0,0,5,69,65,94.2,1,Matches
70,Edoardo Bove\ae94a6c5,it ITA,MFDF,Roma,19-271,2002,0.4,19,0,5,9,6,1,18,1,1,100.0,1,0,16,90,46,2,0,0,0,0,15,13,86.7,1,Matches
71,Josip Brekalo\d4a2533d,hr CRO,FWMF,Torino,23-233,1998,13.7,789,7,63,347,439,46,731,22,41,53.7,25,1,560,3245,1679,94,31,14,28,20,745,593,79.6,92,Matches
72,Gleison Bremer\5fd5ed86,br BRA,DF,Torino,24-330,1997,20.3,1238,132,605,629,72,42,1222,7,11,63.6,8,0,682,3818,1609,33,8,1,9,7,620,601,96.9,5,Matches
73,Marcelo Brozović\33b8d077,hr CRO,MF,Inter,29-087,1992,21.2,1924,92,580,1158,350,24,1859,13,18,72.2,13,0,1406,7919,3248,102,42,2,14,18,1512,1463,96.8,27,Matches
