,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
529,Abdoulaye Touré\ef7cd87a,fr FRA,MF,Genoa,27-345,1994,4.8,8,5,4,4,0,5,11,45.5,6,98,22,22.4,30,54,14,11,1,0,10,10,18,11,0,Matches
530,Axel Tuanzebe\2baec6ce,eng ENG,DF,Napoli,24-089,1997,0.1,0,0,0,0,0,0,0,,0,2,1,50.0,0,1,1,1,1,0,0,0,0,0,0,Matches
531,Iyenoma Udogie\7cd520e8,it ITA,DF,Udinese,19-075,2002,15.3,40,29,20,17,3,10,29,34.5,19,260,75,28.8,113,112,35,30,3,0,27,25,65,16,0,Matches
532,Maximilian Ullmann\caaf2ed1,at AUT,DF,Venezia,25-239,1996,1.0,0,0,0,0,0,0,0,,0,9,1,11.1,4,4,1,4,0,0,4,0,0,3,0,Matches
533,Antonio Vacca\444c89d9,it ITA,MF,Venezia,31-274,1990,8.3,28,18,20,7,1,8,24,33.3,16,181,58,32.0,92,82,7,14,5,0,9,29,57,15,0,Matches
534,Zinho Vanheusden\afbf187b,be BEL,DF,Genoa,22-197,1999,10.0,19,12,12,6,1,8,14,57.1,6,104,33,31.7,61,36,7,27,17,0,10,21,40,38,0,Matches
535,Johan Vásquez\5eaed77a,mx MEX,DF,Genoa,23-112,1998,15.0,49,29,31,17,1,28,52,53.8,24,220,80,36.4,132,75,13,31,10,0,21,50,99,65,1,Matches
536,Denis Vavro\08990838,sk SVK,DF,Lazio,25-307,1996,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
537,Matías Vecino\44ac04e9,uy URU,MF,Inter,30-171,1991,3.3,8,3,3,2,3,0,4,0.0,4,67,16,23.9,15,36,16,11,1,0,10,2,10,6,0,Matches
538,Miguel Veloso\ab1ca213,pt POR,MF,Hellas Verona,35-276,1986,13.4,21,11,5,16,0,7,18,38.9,11,182,51,28.0,67,98,17,19,4,0,15,17,38,15,1,Matches
539,Lorenzo Venuti\983ff2c7,it ITA,DF,Fiorentina,26-305,1995,8.7,5,3,2,2,1,1,6,16.7,5,64,15,23.4,28,32,4,8,2,0,6,5,10,13,0,Matches
540,Daniele Verde\d3298c99,it ITA,FWMF,Spezia,25-236,1996,12.1,8,2,3,3,2,3,7,42.9,4,106,32,30.2,27,39,40,14,1,0,13,13,21,3,0,Matches
