,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
45,Édgar Badía\e4346678,es ESP,GK,Elche,29-364,1992,11.0,264,385,68.6,8985,5832,39,39,100.0,104,105,99.0,121,240,50.4,0,0.0,0.0,0,5,0,0,0,Matches
46,Miguel Baeza\a98f3cbf,es ESP,DF,Celta Vigo,21-321,2000,0.0,4,5,80.0,68,10,2,2,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
47,Alejandro Balde\5ccc9672,es ESP,FWDF,Barcelona,18-116,2003,1.1,61,65,93.8,974,235,31,31,100.0,25,27,92.6,3,4,75.0,0,0.1,-0.1,1,2,2,0,5,Matches
48,Gareth Bale\a58bb1e1,wls WAL,FW,Real Madrid,32-210,1989,2.1,38,51,74.5,644,155,19,23,82.6,17,20,85.0,2,5,40.0,0,0.0,0.0,1,3,3,0,6,Matches
49,Mikel Balenziaga\1fe67e86,es ESP,DF,Athletic Club,33-347,1988,18.1,633,820,77.2,10669,4362,311,341,91.2,256,334,76.6,50,111,45.0,0,0.4,-0.4,6,37,10,2,68,Matches
50,Iván Balliu\cee88597,al ALB,DF,Rayo Vallecano,30-041,1992,21.0,806,1051,76.7,15441,7066,330,376,87.8,350,434,80.6,113,196,57.7,1,1.9,-0.9,20,49,21,14,83,Matches
51,Barbero\981c1863,es ESP,FWMF,Osasuna,23-178,1998,0.2,5,10,50.0,51,0,5,9,55.6,0,1,0.0,0,0,,0,0.0,0.0,1,0,0,0,0,Matches
52,Enis Bardhi\cac2537b,mk MKD,MFFW,Levante,26-224,1995,10.7,281,404,69.6,5274,1708,129,154,83.8,90,124,72.6,46,92,50.0,2,1.5,+0.5,22,27,10,2,32,Matches
53,Keidi Bare\03049c8c,al ALB,MF,Espanyol,24-167,1997,8.7,395,466,84.8,7355,1798,172,189,91.0,161,183,88.0,53,75,70.7,1,0.9,+0.1,7,51,5,1,38,Matches
54,Kike Barja\aad53e64,es ESP,MFFW,Osasuna,24-316,1997,7.1,162,251,64.5,2842,683,82,107,76.6,52,79,65.8,22,42,52.4,0,0.6,-0.6,4,14,5,0,23,Matches
55,Antonio Barragán\487d9b09,es ESP,DF,Elche,34-244,1987,6.5,276,341,80.9,5553,2526,90,100,90.0,141,161,87.6,41,69,59.4,0,0.0,0.0,0,17,1,0,22,Matches
56,Ander Barrenetxea\200e89e1,es ESP,FWMF,Real Sociedad,20-046,2001,6.1,136,187,72.7,2121,569,70,86,81.4,49,64,76.6,10,16,62.5,1,1.0,0.0,8,5,8,1,14,Matches
57,Marc Bartra\b742cc0d,es ESP,DF,Betis,31-027,1991,9.1,369,452,81.6,8444,2855,97,104,93.3,196,216,90.7,75,127,59.1,0,0.1,-0.1,3,30,2,0,27,Matches
58,Álvaro Bastida\42a028c5,es ESP,MF,Cádiz,17-275,2004,2.2,42,53,79.2,733,86,22,25,88.0,15,16,93.8,5,10,50.0,0,0.0,0.0,0,2,0,0,1,Matches
59,Rodrigo Battaglia\d637fc22,ar ARG,MF,Mallorca,30-214,1991,7.5,313,369,84.8,5370,1464,148,160,92.5,114,134,85.1,39,56,69.6,0,0.1,-0.1,2,23,1,0,24,Matches
60,Jon Bautista\debc6b55,es ESP,FWMF,Real Sociedad,26-223,1995,0.5,6,8,75.0,81,21,4,5,80.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,1,0,2,Matches
61,Bebé\d8712bf9,pt POR,FWMF,Rayo Vallecano,31-214,1990,4.0,94,152,61.8,2009,615,36,47,76.6,38,57,66.7,18,40,45.0,2,1.6,+0.4,12,9,8,3,13,Matches
62,Héctor Bellerín\f874dd44,es ESP,DF,Betis,26-329,1995,14.7,535,709,75.5,8890,3652,272,325,83.7,203,260,78.1,49,85,57.6,2,1.7,+0.3,18,34,14,3,45,Matches
63,Fran Beltrán\ed5c5fa3,es ESP,MF,Celta Vigo,23-008,1999,16.4,876,990,88.5,17614,3213,319,354,90.1,412,443,93.0,134,159,84.3,0,0.4,-0.4,7,63,4,1,49,Matches
64,Darío Benedetto\bef0a7ac,ar ARG,FW,Elche,31-270,1990,6.6,77,114,67.5,1537,371,38,55,69.1,24,36,66.7,14,19,73.7,1,0.9,+0.1,5,11,4,0,14,Matches
