,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
99,Javairô Dilrosun\34a0f5ff,nl NED,FW,Hertha BSC,23-234,1998,1.5,26,34,76.5,388,103,18,23,78.3,4,5,80.0,3,3,100.0,0,0.0,0.0,0,1,0,0,2,Matches
100,Lee Dongjun\96d0b6f0,kr KOR,MF,Hertha BSC,25-010,1997,0.4,3,7,42.9,23,4,3,3,100.0,0,2,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
101,Niklas Dorsch\7f73bdf4,de GER,MF,Augsburg,24-027,1998,16.2,611,717,85.2,14326,3804,180,198,90.9,275,302,91.1,147,197,74.6,0,0.1,-0.1,6,52,7,1,56,Matches
102,Ondrej Duda\79ca3e23,sk SVK,MF,Köln,27-068,1994,14.4,406,546,74.4,7227,1727,195,238,81.9,130,179,72.6,64,96,66.7,0,1.3,-1.3,12,39,16,2,51,Matches
103,Jeremy Dudziak\5a8d6540,tn TUN,MFFW,Greuther Fürth,26-167,1995,9.8,179,272,65.8,2919,926,83,106,78.3,72,97,74.2,13,40,32.5,0,1.4,-1.4,13,13,7,5,22,Matches
104,Erik Durm\cf623c78,de GER,DF,Eint Frankfurt,29-275,1992,5.3,190,274,69.3,3818,1558,65,74,87.8,97,129,75.2,25,60,41.7,1,0.6,+0.4,3,16,5,0,22,Matches
105,Maximilian Eggestein\beb882a8,de GER,MF,Freiburg,25-065,1996,13.0,305,428,71.3,5112,1714,139,173,80.3,131,166,78.9,26,54,48.1,1,1.1,-0.1,10,43,12,2,50,Matches
106,Lilian Egloff\2f7fec15,de GER,FWMF,Stuttgart,19-175,2002,0.3,6,9,66.7,68,24,3,3,100.0,2,3,66.7,0,1,0.0,0,0.2,-0.2,1,0,0,0,1,Matches
107,Kingsley Ehizibue\76b2817e,nl NED,DF,Köln,26-262,1995,3.4,115,172,66.9,2368,1187,39,53,73.6,55,67,82.1,19,42,45.2,1,0.6,+0.4,6,10,7,6,16,Matches
108,Jurgen Ekkelenkamp\73d6a176,nl NED,MFFW,Hertha BSC,21-312,2000,6.8,139,205,67.8,1974,534,78,95,82.1,45,61,73.8,6,20,30.0,0,0.7,-0.7,7,9,3,0,15,Matches
109,Nico Elvedi\48035304,ch SUI,DF,M'Gladbach,25-134,1996,17.3,1058,1131,93.5,22282,5741,293,321,91.3,587,611,96.1,171,185,92.4,0,0.0,0.0,2,28,0,0,40,Matches
110,Breel Embolo\0b4f388a,ch SUI,FW,M'Gladbach,24-362,1997,13.2,250,325,76.9,3492,736,157,194,80.9,62,84,73.8,17,21,81.0,2,2.8,-0.8,19,17,10,0,29,Matches
111,Keita Endo\1a83027b,jp JPN,MF,Union Berlin,24-081,1997,0.4,11,17,64.7,180,51,6,8,75.0,3,5,60.0,1,1,100.0,0,0.0,0.0,0,1,0,0,2,Matches
112,Wataru Endo\c149016b,jp JPN,MF,Stuttgart,29-002,1993,20.8,952,1120,85.0,17348,4337,421,479,87.9,396,449,88.2,120,159,75.5,2,0.6,+1.4,12,90,7,1,93,Matches
113,Michael Esser\83e0eeb4,de GER,GK,Bochum,34-081,1987,1.0,29,43,67.4,851,546,5,5,100.0,15,15,100.0,9,23,39.1,0,0.0,0.0,0,1,0,0,0,Matches
114,Wahidullah Faghir\93c9e7d9,dk DEN,FW,Stuttgart,18-197,2003,1.4,21,33,63.6,255,55,16,19,84.2,4,8,50.0,0,3,0.0,0,0.0,0.0,0,2,1,0,4,Matches
115,Ömer Faruk Beyaz\8307b663,tr TUR,FWDF,Stuttgart,18-166,2003,0.8,29,39,74.4,382,91,19,24,79.2,9,13,69.2,1,1,100.0,0,0.0,0.0,0,1,1,0,3,Matches
116,Adrian Fein\60097ff6,de GER,MF,Greuther Fürth,22-330,1999,0.4,6,9,66.7,117,18,2,3,66.7,4,4,100.0,0,2,0.0,0,0.0,0.0,1,0,0,0,0,Matches
117,Ohis Felix Uduokhai\677da306,de GER,DF,Augsburg,24-155,1997,5.6,212,265,80.0,4771,1760,59,70,84.3,111,122,91.0,41,68,60.3,0,0.0,0.0,1,20,2,0,17,Matches
118,Edimilson Fernandes\3bb625ac,ch SUI,DFFW,Arminia,25-302,1996,3.1,93,124,75.0,1700,653,47,51,92.2,32,42,76.2,12,22,54.5,0,0.3,-0.3,6,6,7,3,14,Matches
119,Alfreð Finnbogason\f9e7c4ac,is ISL,FWMF,Augsburg,33-010,1989,1.6,23,36,63.9,394,128,13,18,72.2,7,10,70.0,3,4,75.0,1,0.7,+0.3,2,2,0,0,3,Matches
120,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,28-243,1993,19.0,532,783,67.9,19276,13626,63,64,98.4,211,212,99.5,257,506,50.8,0,0.1,-0.1,2,29,0,0,1,Matches
121,Emil Forsberg\9a2e0ccc,se SWE,MFFW,RB Leipzig,30-111,1991,10.6,336,421,79.8,5447,1564,187,217,86.2,114,129,88.4,30,62,48.4,0,1.8,-1.8,15,35,21,1,55,Matches
122,Philipp Förster\76fa965f,de GER,FWMF,Stuttgart,27-007,1995,9.5,344,394,87.3,5478,1158,187,205,91.2,129,146,88.4,22,25,88.0,1,0.7,+0.3,5,28,10,0,29,Matches
123,Timothy Fosu-Mensah\a9142dc3,nl NED,DF,Leverkusen,24-040,1998,0.6,18,22,81.8,337,155,7,7,100.0,9,12,75.0,2,2,100.0,0,0.0,0.0,0,2,0,0,1,Matches
124,Raphael Framberger\626fab5f,de GER,DFMF,Augsburg,26-158,1995,6.2,175,263,66.5,3377,1678,75,91,82.4,69,94,73.4,28,64,43.8,0,0.3,-0.3,7,17,12,6,29,Matches
125,Marvin Friedrich\b77f44a4,de GER,DF,M'Gladbach,26-060,1995,3.0,188,216,87.0,4233,1280,49,56,87.5,99,103,96.1,40,56,71.4,0,0.0,0.0,0,8,2,0,11,Matches
