,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
48,Ramy Bensebaini\378825c7,dz ALG,DF,M'Gladbach,26-301,1995,11.5,2,19,4,21.1,1.65,0.35,0.05,0.25,17.6,1,1,1,2.0,1.2,0.06,0.0,-0.2,Matches
49,Louis Beyer\9af1f9ff,de GER,DF,M'Gladbach,21-268,2000,6.5,0,6,0,0.0,0.92,0.00,0.00,,10.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
50,Bartosz Bialek\763b8b37,pl POL,FW,Wolfsburg,20-092,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
51,Danny Blum\eb61713c,de GER,FW,Bochum,31-035,1991,2.5,2,8,3,37.5,3.16,1.18,0.25,0.67,18.3,1,0,0,0.8,0.8,0.10,+1.2,+1.2,Matches
52,Kevin-Prince Boateng\f4ec4fd0,gh GHA,MFFW,Hertha BSC,34-342,1987,4.3,0,8,2,25.0,1.84,0.46,0.00,0.00,19.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
53,Herbert Bockhorn\5ad8c360,de GER,DFMF,Bochum,27-011,1995,5.2,0,5,1,20.0,0.96,0.19,0.00,0.00,24.2,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
54,Jean-Paul Boëtius\635f2732,nl NED,MF,Mainz 05,27-326,1994,12.7,1,16,5,31.3,1.26,0.39,0.06,0.20,21.2,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
55,Tarsis Bonga\6ebbc28a,de GER,FW,Bochum,25-032,1997,0.0,0,1,0,0.0,30.00,0.00,0.00,,8.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
56,Solomon Bonnah\dd7b6eb8,nl NED,DF,RB Leipzig,18-176,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
57,Sebastiaan Bornauw\01834aa0,be BEL,DF,Wolfsburg,22-326,1999,12.7,0,11,3,27.3,0.86,0.24,0.00,0.00,9.8,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
58,Rafael Borré\c68da769,co COL,FW,Eint Frankfurt,26-149,1995,18.6,6,38,17,44.7,2.04,0.91,0.16,0.35,13.0,0,0,0,7.5,7.5,0.20,-1.5,-1.5,Matches
59,Dedryck Boyata\7c473e12,be BEL,DF,Hertha BSC,31-075,1990,11.1,0,7,1,14.3,0.63,0.09,0.00,0.00,9.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
60,Julian Brandt\a167537f,de GER,MFFW,Dortmund,25-285,1996,14.1,5,20,7,35.0,1.42,0.50,0.25,0.71,18.1,0,0,0,2.0,2.0,0.10,+3.0,+3.0,Matches
61,Iker Bravo\db8c8860,es ESP,FW,Leverkusen,17-029,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
62,Fabian Bredlow\d28339cb,de GER,GK,Stuttgart,26-346,1995,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
63,Josip Brekalo\d4a2533d,hr CRO,MF,Wolfsburg,23-233,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
