,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
36,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,20-050,2001,7,4,510,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
37,Cédric Bakambu\0af4dcf0,cd COD,FWMF,Marseille,30-306,1991,2,1,80,0.9,1,0,1,0,0,0,0,1.13,0.00,1.13,1.13,1.13,0.7,0.7,0.1,0.8,0.77,0.10,0.86,0.77,0.86,Matches
38,Abdoulaye Bakayoko\ee95585f,fr FRA,DF,Saint-Étienne,19-058,2002,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
39,Dilane Bakwa\2b5a35e5,fr FRA,FW,Bordeaux,19-169,2002,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
40,Ibrahima Baldé\a30cb0d4,fr FRA,FWMF,Lens,19-025,2003,3,0,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
41,Leonardo Balerdi\7c3ed041,ar ARG,DF,Marseille,23-016,1999,14,9,876,9.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
42,Jonathan Bamba\b2bd0f6c,fr FRA,MF,Lille,25-322,1996,17,16,1328,14.8,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,1.5,1.5,1.4,2.9,0.10,0.09,0.19,0.10,0.19,Matches
43,Simon Banza\be47b750,fr FRA,FW,Lens,25-182,1996,4,1,124,1.4,1,1,1,0,0,0,0,0.73,0.73,1.45,0.73,1.45,1.2,1.2,0.6,1.8,0.86,0.47,1.33,0.86,1.33,Matches
44,Bradley Barcola\a0d55a09,fr FRA,MF,Lyon,19-162,2002,2,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,1.44,1.44,0.00,1.44,Matches
45,Melvin Bard\1ddbc7ca,fr FRA,DF,Nice,21-097,2000,18,17,1511,16.8,1,1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,0.7,0.7,1.5,2.2,0.04,0.09,0.13,0.04,0.13,Matches
46,Toma Bašić\80556f08,hr CRO,MF,Bordeaux,25-078,1996,3,3,209,2.3,0,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,0.1,0.1,0.6,0.7,0.05,0.24,0.29,0.05,0.29,Matches
47,Amine Bassi\ced1d98f,fr FRA,MF,Metz,24-076,1997,5,2,184,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.12,0.18,0.29,0.12,0.29,Matches
48,Mohamed Bayo\01870104,gn GUI,FW,Clermont Foot,23-252,1998,18,16,1397,15.5,9,2,8,1,1,0,0,0.58,0.13,0.71,0.52,0.64,8.2,7.4,2.4,9.8,0.53,0.15,0.68,0.48,0.63,Matches
49,Haris Belkebla\2b1bed19,dz ALG,MF,Brest,28-014,1994,17,15,1260,14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
50,Jean-Ricner Bellegarde\10f0fdd3,fr FRA,MF,Strasbourg,23-229,1998,21,14,1305,14.5,1,2,1,0,0,3,0,0.07,0.14,0.21,0.07,0.21,1.0,1.0,0.7,1.6,0.07,0.05,0.11,0.07,0.11,Matches
51,Hatem Ben Arfa\74dc806c,fr FRA,FW,Lille,34-341,1987,2,1,84,0.9,0,1,0,0,0,0,0,0.00,1.07,1.07,0.00,1.07,0.4,0.4,0.3,0.7,0.39,0.35,0.74,0.39,0.74,Matches
52,Wissam Ben Yedder\942b4f90,fr FRA,FW,Monaco,31-183,1990,22,15,1372,15.2,14,4,8,6,6,1,0,0.92,0.26,1.18,0.52,0.79,9.4,4.9,3.1,8.0,0.62,0.20,0.82,0.32,0.52,Matches
53,Darío Benedetto\bef0a7ac,ar ARG,FWMF,Marseille,31-270,1990,2,0,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.6,0.86,0.06,0.92,0.86,0.92,Matches
54,Walter Benítez\8a2248b4,ar ARG,GK,Nice,28-329,1993,22,22,1980,22.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
55,Loris Benito\f5b6fb78,ch SUI,DF,Bordeaux,30-035,1992,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
56,Nabil Bentaleb\3189f61a,dz ALG,MF,Angers,27-079,1994,3,3,217,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
57,Patrick Berg\e4114f5d,no NOR,MF,Lens,24-079,1997,4,1,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches
58,Mitchell van Bergen\0b2c9aec,nl NED,FWMF,Reims,22-168,1999,10,5,523,5.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.8,0.08,0.06,0.14,0.08,0.14,Matches
59,Valon Berisha\d5575935,xk KVX,MFFW,Reims,29-004,1993,11,3,342,3.8,0,1,0,0,0,2,1,0.00,0.26,0.26,0.00,0.26,0.0,0.0,0.4,0.4,0.01,0.10,0.11,0.01,0.11,Matches
60,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,24-299,1997,13,13,1170,13.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
61,Paul Bernardoni\28dabd43,fr FRA,GK,Saint-Étienne,24-299,1997,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
62,Juan Bernat\433dc9a2,es ESP,DF,Paris S-G,28-347,1993,7,6,462,5.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.09,0.09,0.00,0.09,Matches
63,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,23-250,1998,6,5,472,5.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
64,Jason Berthomier\03e91055,fr FRA,MF,Clermont Foot,32-036,1990,21,17,1342,14.9,1,3,1,0,0,0,0,0.07,0.20,0.27,0.07,0.27,1.5,1.5,3.5,5.0,0.10,0.23,0.33,0.10,0.33,Matches
65,Giulian Biancone\de40e38c,fr FRA,DF,Troyes,21-317,2000,20,16,1436,16.0,0,2,0,0,0,7,0,0.00,0.13,0.13,0.00,0.13,1.6,1.6,0.9,2.5,0.10,0.06,0.16,0.10,0.16,Matches
66,El Bilal Touré\47c609d5,ml MLI,FW,Reims,20-131,2001,15,11,840,9.3,1,2,0,1,1,2,0,0.11,0.21,0.32,0.00,0.21,3.2,2.4,0.7,3.1,0.34,0.07,0.41,0.26,0.33,Matches
67,Jean-Claude Billong\a3e1d20d,cm CMR,DF,Clermont Foot,28-045,1993,7,4,424,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
