,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
349,Samuel Mráz\be6c1ccc,sk SVK,FW,Spezia,24-274,1997,2,0,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
350,Mert Müldür\1295552e,tr TUR,DFFW,Sassuolo,22-314,1999,18,11,919,10.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.04,0.02,0.06,0.04,0.06,Matches
351,Luis Muriel\eb2fe5b6,co COL,FW,Atalanta,30-301,1991,15,8,736,8.2,4,4,4,0,0,0,0,0.49,0.49,0.98,0.49,0.98,3.2,3.2,2.2,5.4,0.39,0.27,0.66,0.39,0.66,Matches
352,Vedat Muriqi\0cadc46d,xk KVX,FW,Lazio,27-293,1994,11,1,215,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.17,0.00,0.17,0.17,0.17,Matches
353,Nicola Murru\d183e9d6,it ITA,DF,Sampdoria,27-057,1994,13,5,437,4.9,1,0,1,0,0,4,0,0.21,0.00,0.21,0.21,0.21,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04,Matches
354,Juan Musso\a111cf41,ar ARG,GK,Atalanta,27-281,1994,21,21,1852,20.6,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
355,Joakim Mæhle\c459a650,dk DEN,DF,Atalanta,24-267,1997,18,13,1212,13.5,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,1.5,1.5,1.2,2.6,0.11,0.09,0.20,0.11,0.20,Matches
356,Nahitan Nández\95facda1,uy URU,MFDF,Cagliari,26-045,1995,17,15,1344,14.9,0,2,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,0.7,0.7,1.3,2.0,0.05,0.09,0.13,0.05,0.13,Matches
357,Nani\15e9c7e6,pt POR,FWMF,Venezia,35-086,1986,3,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.22,0.22,0.00,0.22,Matches
358,Matija Nastasić\f35430a4,rs SRB,DF,Fiorentina,28-320,1993,5,2,219,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches
