,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
56,Nabil Bentaleb\3189f61a,dz ALG,MF,Angers,27-079,1994,2.4,155,153,2,2,0,38,2,1,0,0,0,0,111,24,20,114,25,6,0,3,125,1,6,2,5,Matches
57,Patrick Berg\e4114f5d,no NOR,MF,Lens,24-079,1997,1.2,97,96,1,1,0,18,3,0,0,0,0,0,74,10,13,8,86,1,0,0,84,0,4,3,1,Matches
58,Mitchell van Bergen\0b2c9aec,nl NED,FWMF,Reims,22-168,1999,5.8,143,121,22,5,0,17,5,11,14,7,6,0,95,18,30,10,131,2,0,0,99,1,2,8,10,Matches
59,Valon Berisha\d5575935,xk KVX,MFFW,Reims,29-004,1993,3.8,150,127,23,7,0,19,13,5,15,5,6,2,75,29,46,18,121,6,0,2,103,1,6,11,2,Matches
60,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,24-299,1997,13.0,337,212,125,27,0,13,8,0,0,0,0,0,185,17,135,194,46,0,0,82,263,2,9,3,0,Matches
61,Paul Bernardoni\28dabd43,fr FRA,GK,Saint-Étienne,24-299,1997,4.0,121,85,36,12,0,8,0,0,0,0,0,0,43,1,77,79,14,0,0,18,63,1,3,0,1,Matches
62,Juan Bernat\433dc9a2,es ESP,DF,Paris S-G,28-347,1993,5.1,300,265,35,4,1,33,1,8,0,0,0,0,238,45,17,244,15,8,31,1,278,1,1,8,1,Matches
63,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,23-250,1998,5.2,181,115,66,11,0,6,2,0,0,0,0,0,81,6,94,16,127,0,0,29,125,1,1,1,0,Matches
64,Jason Berthomier\03e91055,fr FRA,MF,Clermont Foot,32-036,1990,14.9,1119,1002,117,54,2,158,42,34,60,24,24,2,815,113,191,987,90,29,2,1,920,0,25,44,18,Matches
65,Giulian Biancone\de40e38c,fr FRA,DF,Troyes,21-317,2000,16.0,856,725,131,9,0,97,15,61,0,0,0,0,458,174,224,132,522,47,122,6,618,2,10,44,30,Matches
66,El Bilal Touré\47c609d5,ml MLI,FW,Reims,20-131,2001,9.3,235,230,5,0,0,72,4,3,0,0,0,0,144,54,37,51,126,26,0,4,171,0,5,7,10,Matches
67,Jean-Claude Billong\a3e1d20d,cm CMR,DF,Clermont Foot,28-045,1993,4.7,226,221,5,5,0,22,3,1,0,0,0,0,183,16,27,8,199,10,0,0,197,0,3,4,4,Matches
68,Nathan Bitu Mazala\0f697e02,fr FRA,DF,Paris S-G,19-063,2002,0.1,10,8,2,0,0,1,0,0,0,0,0,0,7,3,0,0,8,0,2,0,10,0,0,0,0,Matches
69,Marco Bizot\3d214e5f,nl NED,GK,Brest,30-338,1991,22.0,700,447,253,63,0,35,19,0,0,0,0,0,298,26,376,65,485,0,0,118,489,2,15,2,0,Matches
