,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
34,Julian Baumgartlinger\69374ff5,at AUT,MF,Leverkusen,34-040,1988,2,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
35,Christoph Baumgartner\437f2b00,at AUT,MFFW,Hoffenheim,22-194,1999,17,11,897,10.0,3,0,3,0,0,2,0,0.30,0.00,0.30,0.30,0.30,3.9,3.9,0.8,4.7,0.39,0.08,0.47,0.39,0.47,Matches
36,Noah Joel Sarenren Bazee\fbbc8e15,ng NGA,MFFW,Augsburg,25-174,1996,10,0,111,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.5,0.20,0.17,0.37,0.20,0.37,Matches
37,Ihlas Bebou\a53b661f,tg TOG,FWDF,Hoffenheim,27-294,1994,17,16,1292,14.4,7,2,7,0,0,0,0,0.49,0.14,0.63,0.49,0.63,5.9,5.9,1.1,7.0,0.41,0.08,0.49,0.41,0.49,Matches
38,Sheraldo Becker\8eb55dbb,sr SUR,FWMF,Union Berlin,27-002,1995,15,9,810,9.0,1,2,1,0,0,3,0,0.11,0.22,0.33,0.11,0.33,1.5,1.5,3.4,4.9,0.17,0.38,0.54,0.17,0.54,Matches
39,Kevin Behrens\30ae134d,de GER,FWMF,Union Berlin,31-008,1991,17,2,397,4.4,1,2,1,0,0,0,0,0.23,0.45,0.68,0.23,0.68,1.3,1.3,1.6,2.9,0.29,0.37,0.67,0.29,0.67,Matches
40,Ishak Belfodil\ff182fdc,dz ALG,FW,Hertha BSC,30-030,1992,15,10,927,10.3,2,2,2,0,0,0,0,0.19,0.19,0.39,0.19,0.39,2.1,2.1,1.5,3.7,0.21,0.15,0.36,0.21,0.36,Matches
41,Stefan Bell\857a5abe,de GER,DF,Mainz 05,30-171,1991,20,20,1715,19.1,1,0,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,1.1,1.1,1.0,2.2,0.06,0.05,0.11,0.06,0.11,Matches
42,Armel Bella Kotchap\a39d11bc,de GER,DF,Bochum,20-062,2001,12,10,894,9.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.02,0.03,0.05,0.02,0.05,Matches
43,Karim Bellarabi\bee0bab1,de GER,FWMF,Leverkusen,31-309,1990,13,7,536,6.0,2,2,2,0,0,2,0,0.34,0.34,0.67,0.34,0.67,1.6,1.6,1.1,2.8,0.27,0.19,0.47,0.27,0.47,Matches
44,Jude Bellingham\57d88cf9,eng ENG,MF,Dortmund,18-227,2003,19,19,1620,18.0,3,6,3,0,0,6,0,0.17,0.33,0.50,0.17,0.50,3.5,3.5,3.2,6.7,0.19,0.18,0.37,0.19,0.37,Matches
45,George Bello\aca0a525,us USA,DF,Arminia,20-020,2002,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
46,László Bénes\fe888e39,sk SVK,MF,M'Gladbach,24-155,1997,10,2,235,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,1.0,0.27,0.13,0.40,0.27,0.40,Matches
47,Keanan Bennetts\f4c7c708,eng ENG,FWDF,M'Gladbach,22-339,1999,4,0,50,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07,Matches
48,Ramy Bensebaini\378825c7,dz ALG,DF,M'Gladbach,26-301,1995,12,11,1036,11.5,2,0,1,1,1,3,0,0.17,0.00,0.17,0.09,0.09,2.0,1.2,0.6,1.8,0.17,0.05,0.22,0.10,0.16,Matches
49,Louis Beyer\9af1f9ff,de GER,DF,M'Gladbach,21-268,2000,8,6,585,6.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.4,0.06,0.01,0.07,0.06,0.07,Matches
50,Bartosz Bialek\763b8b37,pl POL,FW,Wolfsburg,20-092,2001,2,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.10,0.10,0.00,0.10,Matches
51,Danny Blum\eb61713c,de GER,FW,Bochum,31-035,1991,7,2,228,2.5,2,0,2,0,0,0,0,0.79,0.00,0.79,0.79,0.79,0.8,0.8,0.6,1.4,0.33,0.22,0.55,0.33,0.55,Matches
52,Kevin-Prince Boateng\f4ec4fd0,gh GHA,MFFW,Hertha BSC,34-342,1987,12,4,391,4.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.4,0.06,0.03,0.09,0.06,0.09,Matches
53,Herbert Bockhorn\5ad8c360,de GER,DFMF,Bochum,27-011,1995,12,3,470,5.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.04,0.02,0.06,0.04,0.06,Matches
54,Jean-Paul Boëtius\635f2732,nl NED,MF,Mainz 05,27-326,1994,20,12,1145,12.7,1,1,1,0,0,3,0,0.08,0.08,0.16,0.08,0.16,1.2,1.2,1.7,2.9,0.10,0.14,0.23,0.10,0.23,Matches
55,Tarsis Bonga\6ebbc28a,de GER,FW,Bochum,25-032,1997,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,1.22,0.00,1.22,1.22,1.22,Matches
56,Solomon Bonnah\dd7b6eb8,nl NED,DF,RB Leipzig,18-176,2003,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
57,Sebastiaan Bornauw\01834aa0,be BEL,DF,Wolfsburg,22-326,1999,16,13,1147,12.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,1.0,0.07,0.01,0.08,0.07,0.08,Matches
58,Rafael Borré\c68da769,co COL,FW,Eint Frankfurt,26-149,1995,21,19,1675,18.6,6,4,6,0,0,3,0,0.32,0.21,0.54,0.32,0.54,7.5,7.5,2.6,10.1,0.40,0.14,0.54,0.40,0.54,Matches
59,Dedryck Boyata\7c473e12,be BEL,DF,Hertha BSC,31-075,1990,13,12,998,11.1,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.03,0.05,0.07,0.03,0.07,Matches
60,Julian Brandt\a167537f,de GER,MFFW,Dortmund,25-285,1996,18,15,1271,14.1,5,6,5,0,0,1,0,0.35,0.42,0.78,0.35,0.78,2.0,2.0,3.5,5.5,0.14,0.25,0.39,0.14,0.39,Matches
61,Iker Bravo\db8c8860,es ESP,FW,Leverkusen,17-029,2005,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
62,Fabian Bredlow\d28339cb,de GER,GK,Stuttgart,26-346,1995,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
63,Josip Brekalo\d4a2533d,hr CRO,MF,Wolfsburg,23-233,1998,1,0,21,0.2,0,1,0,0,0,0,0,0.00,4.29,4.29,0.00,4.29,0.0,0.0,0.4,0.4,0.00,1.82,1.82,0.00,1.82,Matches
64,Brian Brobbey\4c184730,nl NED,FW,RB Leipzig,20-010,2002,9,1,131,1.5,0,2,0,0,0,0,0,0.00,1.37,1.37,0.00,1.37,0.5,0.5,0.7,1.1,0.33,0.46,0.79,0.33,0.79,Matches
65,John Brooks\e27da244,us USA,DF,Wolfsburg,29-014,1993,18,16,1449,16.1,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.4,0.4,0.5,0.9,0.02,0.03,0.06,0.02,0.06,Matches
