,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
81,Riccardo Calafiori\aded8e6f,it ITA,DF,Genoa,19-268,2002,0.6,7,14,50.0,130,65,3,4,75.0,4,8,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,Matches
82,Riccardo Calafiori\aded8e6f,it ITA,DF,Roma,19-268,2002,1.9,67,83,80.7,1164,337,33,37,89.2,25,28,89.3,8,15,53.3,1,0.8,+0.2,1,0,2,1,3,Matches
83,Mattia Caldara\ac7e640b,it ITA,DF,Venezia,27-282,1994,18.0,607,726,83.6,13286,4623,189,201,94.0,295,324,91.0,121,191,63.4,0,0.0,0.0,1,29,2,0,34,Matches
84,Hakan Çalhanoğlu\cd0fa27b,tr TUR,MF,Inter,28-003,1994,15.3,866,1060,81.7,17120,4937,368,406,90.6,332,381,87.1,149,238,62.6,8,5.0,+3.0,55,91,23,8,85,Matches
85,José Callejón\78841da9,es ESP,FW,Fiorentina,35-000,1987,13.0,437,556,78.6,7751,1968,215,250,86.0,171,207,82.6,47,85,55.3,2,2.4,-0.4,19,23,17,5,41,Matches
86,Andrea Cambiaso\247ed022,it ITA,DF,Genoa,21-356,2000,18.0,641,824,77.8,10839,3463,313,351,89.2,270,339,79.6,49,91,53.8,4,1.5,+2.5,17,29,17,8,44,Matches
87,Matteo Cancellieri\b6a1cdf9,it ITA,MFDF,Hellas Verona,19-364,2002,1.9,20,35,57.1,330,59,11,16,68.8,4,11,36.4,4,5,80.0,0,0.1,-0.1,2,4,1,0,1,Matches
88,Antonio Candreva\356c9002,it ITA,MFFW,Sampdoria,34-348,1987,22.8,799,1229,65.0,16334,6592,347,422,82.2,257,381,67.5,172,363,47.4,7,5.1,+1.9,61,87,52,16,128,Matches
89,Leonardo Capezzi\07ea0ef2,it ITA,MF,Salernitana,26-320,1995,1.9,41,48,85.4,714,210,19,23,82.6,17,18,94.4,4,5,80.0,0,0.0,0.0,0,2,1,0,3,Matches
90,Gianluca Caprari\54e53b7e,it ITA,FWMF,Hellas Verona,28-196,1993,17.3,586,782,74.9,9134,2513,325,375,86.7,188,244,77.0,47,105,44.8,5,4.3,+0.7,37,37,40,3,76,Matches
91,Francesco Caputo\5bd72174,it ITA,FW,Sampdoria,34-189,1987,18.0,266,353,75.4,3958,560,156,197,79.2,83,105,79.0,17,28,60.7,3,2.5,+0.5,26,14,11,1,16,Matches
92,Francesco Caputo\5bd72174,it ITA,FW,Sassuolo,34-189,1987,1.7,28,35,80.0,367,35,16,20,80.0,10,11,90.9,0,0,,1,0.4,+0.6,3,1,1,0,2,Matches
93,Andrea Carboni\f7e2af2c,it ITA,DF,Cagliari,21-007,2001,19.5,652,858,76.0,12899,4524,241,264,91.3,316,377,83.8,88,190,46.3,0,0.0,0.0,2,56,8,3,58,Matches
94,Nicolò Casale\3f5f38fb,it ITA,DF,Hellas Verona,23-362,1998,17.7,611,744,82.1,11618,4116,223,258,86.4,289,335,86.3,81,117,69.2,1,1.1,-0.1,9,40,9,5,52,Matches
95,Francesco Cassata\96960855,it ITA,MF,Genoa,24-210,1997,0.1,1,1,100.0,50,4,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
96,Samu Castillejo\130a7a3f,es ESP,FWMF,Milan,27-024,1995,1.4,56,68,82.4,1028,235,29,31,93.5,13,14,92.9,13,19,68.4,0,0.2,-0.2,2,3,4,3,4,Matches
97,Gaetano Castrovilli\0728bebe,it ITA,MF,Fiorentina,24-359,1997,7.0,170,231,73.6,3106,763,71,88,80.7,79,95,83.2,16,34,47.1,1,0.2,+0.8,3,15,9,1,26,Matches
98,Danilo Cataldi\ba3d3bea,it ITA,MF,Lazio,27-189,1994,12.9,760,869,87.5,13974,3812,338,358,94.4,318,356,89.3,92,136,67.6,1,1.5,-0.5,8,63,8,0,49,Matches
99,Pietro Ceccaroni\4d1efb48,it ITA,DF,Venezia,26-052,1995,21.7,945,1109,85.2,19543,7526,259,286,90.6,554,593,93.4,128,214,59.8,0,0.1,-0.1,3,48,4,2,47,Matches
100,Federico Ceccherini\d9624b51,it ITA,DF,Hellas Verona,29-276,1992,15.2,601,730,82.3,11082,3683,241,283,85.2,275,303,90.8,70,118,59.3,0,0.3,-0.3,6,42,5,0,52,Matches
101,Emil Ceide\98a84572,no NOR,FW,Sassuolo,20-161,2001,0.1,3,6,50.0,34,13,2,3,66.7,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
102,Luca Ceppitelli\7d50454d,it ITA,DF,Cagliari,32-184,1989,12.1,512,607,84.3,10307,3182,168,182,92.3,260,282,92.2,76,126,60.3,1,0.0,+1.0,0,22,2,0,29,Matches
103,Damir Ceter\eade5337,co COL,FW,Cagliari,24-101,1997,0.1,1,2,50.0,55,0,0,1,0.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
104,Julian Chabot\ae7058f9,de GER,DF,Sampdoria,23-364,1998,5.4,202,245,82.4,4756,1713,53,59,89.8,99,108,91.7,48,76,63.2,0,0.0,0.0,0,15,1,0,19,Matches
105,Giorgio Chiellini\e85fb9b8,it ITA,DF,Juventus,37-181,1984,10.5,563,667,84.4,12649,4102,137,150,91.3,301,341,88.3,117,162,72.2,0,0.1,-0.1,3,50,1,0,39,Matches
106,Federico Chiesa\b0f7e36c,it ITA,MFFW,Juventus,24-109,1997,9.6,218,283,77.0,4199,1279,96,115,83.5,80,100,80.0,33,53,62.3,1,1.2,-0.2,17,12,12,6,28,Matches
107,Vlad Chiricheș\c316607a,ro ROU,DF,Sassuolo,32-089,1989,17.6,892,964,92.5,19079,5213,288,305,94.4,414,440,94.1,177,201,88.1,0,0.1,-0.1,3,25,1,0,33,Matches
108,Riccardo Ciervo\da77b60b,it ITA,MFDF,Sampdoria,19-316,2002,2.5,50,71,70.4,921,206,18,24,75.0,22,30,73.3,7,11,63.6,1,0.2,+0.8,4,4,1,1,3,Matches
109,Giorgio Cittadini\e4ba67f2,it ITA,DF,Atalanta,19-299,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
110,Ebrima Colley\bf356094,gm GAM,FWMF,Spezia,22-010,2000,4.0,85,120,70.8,1566,486,37,43,86.0,38,51,74.5,10,23,43.5,0,1.6,-1.6,6,6,8,3,14,Matches
111,Omar Colley\8b95acda,gm GAM,DF,Sampdoria,29-110,1992,17.5,629,765,82.2,13428,3822,152,176,86.4,362,396,91.4,101,176,57.4,0,0.0,0.0,0,42,1,0,38,Matches
112,Andrea Consigli\8cabdc1e,it ITA,GK,Sassuolo,35-015,1987,23.0,738,938,78.7,20854,11501,147,150,98.0,294,299,98.3,290,482,60.2,0,0.0,0.0,1,6,1,0,0,Matches
