,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
39,Kevin Behrens\30ae134d,de GER,FWMF,Union Berlin,31-008,1991,4.4,215,8,25,104,94,31,211,0,5,0.0,0,0,100,535,205,6,3,2,19,5,259,151,58.3,36,Matches
40,Ishak Belfodil\ff182fdc,dz ALG,FW,Hertha BSC,30-030,1992,10.3,388,14,38,187,188,61,368,9,20,45.0,9,0,233,1151,662,39,13,8,30,26,499,295,59.1,76,Matches
41,Stefan Bell\857a5abe,de GER,DF,Mainz 05,30-171,1991,19.1,1065,154,651,401,67,26,1038,5,6,83.3,5,0,556,2813,1540,23,8,0,3,4,592,578,97.6,6,Matches
42,Armel Bella Kotchap\a39d11bc,de GER,DF,Bochum,20-062,2001,9.9,492,94,310,192,23,10,480,0,0,,0,0,239,1439,618,9,6,0,3,2,255,248,97.3,1,Matches
43,Karim Bellarabi\bee0bab1,de GER,FWMF,Leverkusen,31-309,1990,6.0,290,7,45,135,137,33,279,12,22,54.5,13,1,226,1391,1016,50,18,8,14,10,256,220,85.9,37,Matches
44,Jude Bellingham\57d88cf9,eng ENG,MF,Dortmund,18-227,2003,18.0,1168,33,202,668,368,67,1154,32,63,50.8,35,0,832,3240,1722,85,27,8,40,32,1031,858,83.2,104,Matches
45,George Bello\aca0a525,us USA,DF,Arminia,20-020,2002,0.2,8,0,1,8,0,0,7,0,1,0.0,0,0,6,41,24,1,0,0,0,0,5,5,100.0,0,Matches
46,László Bénes\fe888e39,sk SVK,MF,M'Gladbach,24-155,1997,2.6,223,8,42,136,49,3,201,2,3,66.7,2,0,139,478,251,12,1,2,6,1,159,150,94.3,8,Matches
47,Keanan Bennetts\f4c7c708,eng ENG,FWDF,M'Gladbach,22-339,1999,0.6,34,0,4,18,14,4,32,5,7,71.4,5,0,31,205,83,4,1,1,4,1,28,23,82.1,4,Matches
48,Ramy Bensebaini\378825c7,dz ALG,DF,M'Gladbach,26-301,1995,11.5,877,75,338,486,122,20,795,11,19,57.9,12,0,541,2994,1668,57,15,3,12,11,543,513,94.5,14,Matches
49,Louis Beyer\9af1f9ff,de GER,DF,M'Gladbach,21-268,2000,6.5,546,39,243,271,56,10,522,2,3,66.7,2,0,358,1563,901,30,7,2,4,4,406,391,96.3,6,Matches
