,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
34,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23-309,1998,17,9,817,9.1,1,1,1,0,0,2,1,0.11,0.11,0.22,0.11,0.22,0.5,0.5,0.4,0.9,0.06,0.05,0.10,0.06,0.10,Matches
35,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,28-068,1993,5,1,154,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.5,1.4,0.48,0.32,0.80,0.48,0.80,Matches
36,Ashley Barnes\2691c772,eng ENG,FW,Burnley,32-104,1989,9,4,385,4.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.8,1.4,0.15,0.18,0.34,0.15,0.34,Matches
37,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,24-064,1997,17,14,1116,12.4,2,3,2,0,0,2,0,0.16,0.24,0.40,0.16,0.40,3.4,3.4,2.1,5.5,0.28,0.17,0.45,0.28,0.45,Matches
38,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,19-105,2002,1,0,43,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
39,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,23-035,1999,5,4,380,4.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.04,0.05,0.01,0.05,Matches
40,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25-305,1996,18,17,1504,16.7,3,0,3,0,0,5,0,0.18,0.00,0.18,0.18,0.18,1.4,1.4,0.2,1.7,0.09,0.01,0.10,0.09,0.10,Matches
41,Donny van de Beek\50dc94ce,nl NED,MF,Everton,24-299,1997,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07,Matches
42,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,24-299,1997,8,0,75,0.8,1,0,1,0,0,0,0,1.20,0.00,1.20,1.20,1.20,0.7,0.7,0.5,1.2,0.88,0.58,1.46,0.88,1.46,Matches
43,Asmir Begović\7b4de647,ba BIH,GK,Everton,34-236,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
