,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
54,Walter Benítez\8a2248b4,ar ARG,GK,Nice,28-329,1993,22.0,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
55,Loris Benito\f5b6fb78,ch SUI,DF,Bordeaux,30-035,1992,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,Nabil Bentaleb\3189f61a,dz ALG,MF,Angers,27-079,1994,2.4,3,0.88,3,0,0,0,0,0,1,0.29,1,0,0,0,0,0,Matches
57,Patrick Berg\e4114f5d,no NOR,MF,Lens,24-079,1997,1.2,1,0.83,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
58,Mitchell van Bergen\0b2c9aec,nl NED,FWMF,Reims,22-168,1999,5.8,13,2.24,7,4,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
59,Valon Berisha\d5575935,xk KVX,MFFW,Reims,29-004,1993,3.8,8,2.11,4,3,0,0,0,1,1,0.26,0,1,0,0,0,0,Matches
60,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,24-299,1997,13.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Paul Bernardoni\28dabd43,fr FRA,GK,Saint-Étienne,24-299,1997,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
62,Juan Bernat\433dc9a2,es ESP,DF,Paris S-G,28-347,1993,5.1,2,0.39,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
63,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,23-250,1998,5.2,1,0.19,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,Jason Berthomier\03e91055,fr FRA,MF,Clermont Foot,32-036,1990,14.9,66,4.43,32,22,6,3,1,2,4,0.27,0,3,0,1,0,0,Matches
65,Giulian Biancone\de40e38c,fr FRA,DF,Troyes,21-317,2000,16.0,28,1.75,23,1,0,3,1,0,2,0.13,1,1,0,0,0,0,Matches
66,El Bilal Touré\47c609d5,ml MLI,FW,Reims,20-131,2001,9.3,16,1.71,12,0,1,2,1,0,3,0.32,1,0,0,2,0,0,Matches
67,Jean-Claude Billong\a3e1d20d,cm CMR,DF,Clermont Foot,28-045,1993,4.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
68,Nathan Bitu Mazala\0f697e02,fr FRA,DF,Paris S-G,19-063,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
69,Marco Bizot\3d214e5f,nl NED,GK,Brest,30-338,1991,22.0,5,0.22,5,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
70,Ludovic Blas\6191093d,fr FRA,FWMF,Nantes,24-042,1997,20.2,46,2.27,31,0,3,5,4,3,6,0.30,4,0,0,1,1,0,Matches
71,Myron Boadu\5b479568,nl NED,FW,Monaco,21-028,2001,7.6,15,1.97,9,0,4,0,1,1,3,0.39,2,0,1,0,0,0,Matches
72,Jérôme Boateng\2db2fd7b,de GER,DF,Lyon,33-161,1988,14.9,15,1.01,13,1,0,1,0,0,2,0.13,2,0,0,0,0,0,Matches
73,Antonin Bobichon\7d937aa1,fr FRA,MFFW,Angers,26-150,1995,0.4,2,4.74,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Quentin Boisgard\f6496133,fr FRA,MF,Lorient,24-331,1997,6.5,22,3.39,13,5,0,2,2,0,1,0.15,1,0,0,0,0,0,Matches
75,Charles Boli\bbdd999a,fr FRA,MF,Lens,23-165,1998,0.4,3,8.44,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
76,Sven Botman\ccce7025,nl NED,DF,Lille,22-030,2000,16.0,10,0.62,9,0,1,0,0,0,1,0.06,1,0,0,0,0,0,Matches
77,Denis Bouanga\0b0cbe5b,ga GAB,FWMF,Saint-Étienne,27-092,1994,13.4,33,2.46,15,3,8,5,0,2,0,0.00,0,0,0,0,0,0,Matches
