,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
552,Jesús Vallejo\c2111b45,es ESP,DF,Real Madrid,25-037,1997,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
553,Manu Vallejo\0bc4e720,es ESP,FWMF,Valencia,24-362,1997,9,0,98,1.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.20,0.09,0.29,0.20,0.29,Matches
554,Manu Vallejo\0bc4e720,es ESP,FW,Alavés,24-362,1997,1,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
555,Federico Valverde\0959c2a2,uy URU,MFDF,Real Madrid,23-204,1998,18,10,988,11.0,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,0.9,1.3,0.03,0.09,0.12,0.03,0.12,Matches
556,José Luis García Vayá\27dc1378,es ESP,MF,Levante,23-184,1998,13,10,756,8.4,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.7,0.7,0.00,0.08,0.09,0.00,0.09,Matches
557,Jesus Vazquez\106c142c,es ESP,DFMF,Valencia,19-040,2003,5,2,166,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.03,0.10,0.07,0.10,Matches
558,Kevin Vázquez\ee923664,es ESP,DF,Celta Vigo,28-325,1993,7,6,585,6.5,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
559,Lucas Vázquez\fd51b456,es ESP,DF,Real Madrid,30-225,1991,17,11,1045,11.6,1,0,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,0.9,0.9,1.3,2.2,0.08,0.11,0.19,0.08,0.19,Matches
560,Gabriel Veiga\35a6e5c7,es ESP,MFFW,Celta Vigo,19-260,2002,2,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
561,Unai Vencedor Paris\4112ace5,es ESP,MF,Athletic Club,21-088,2000,20,19,1490,16.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.05,0.01,0.06,0.05,0.06,Matches
562,Gonzalo Verdú\1c2c55fc,es ESP,DF,Elche,33-113,1988,13,12,1019,11.3,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
563,Mikel Vesga\b0fce72c,es ESP,MF,Athletic Club,28-266,1993,18,4,463,5.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.08,0.06,0.14,0.08,0.14,Matches
564,Rúben Vezo\c67cd65c,pt POR,DF,Levante,27-292,1994,20,19,1715,19.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.03,0.01,0.04,0.03,0.04,Matches
565,Aleix Vidal\04965583,es ESP,DFMF,Espanyol,32-174,1989,18,15,1252,13.9,2,0,2,0,0,4,0,0.14,0.00,0.14,0.14,0.14,0.7,0.7,1.0,1.7,0.05,0.07,0.12,0.05,0.12,Matches
566,Nacho Vidal\3a9c4b7b,es ESP,DF,Osasuna,27-018,1995,21,20,1764,19.6,0,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,0.7,0.7,1.6,2.3,0.04,0.08,0.12,0.04,0.12,Matches
567,Dídac Vilà\bad38a94,es ESP,DF,Espanyol,32-247,1989,4,1,149,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches
