,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
68,Craig Cathcart\89e4b358,nir NIR,DF,Watford,33-005,1989,18.3,0,1,0,0.0,0.05,0.00,0.00,,8.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
69,Edinson Cavani\527f063d,uy URU,FW,Manchester Utd,34-362,1987,6.7,2,16,4,25.0,2.38,0.60,0.13,0.50,11.6,0,0,0,3.1,3.1,0.19,-1.1,-1.1,Matches
70,Trevoh Chalobah\5515376c,eng ENG,DF,Chelsea,22-221,1999,10.1,2,4,3,75.0,0.40,0.30,0.50,0.67,17.2,0,0,0,0.6,0.6,0.14,+1.4,+1.4,Matches
71,Calum Chambers\dc6f5bdd,eng ENG,DF,Aston Villa,27-022,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
72,Calum Chambers\dc6f5bdd,eng ENG,DF,Arsenal,27-022,1995,1.9,0,2,0,0.0,1.06,0.00,0.00,,20.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
73,Ben Chilwell\d2424d1b,eng ENG,DF,Chelsea,25-052,1996,6.0,3,13,6,46.2,2.17,1.00,0.23,0.50,17.9,0,0,0,1.2,1.2,0.09,+1.8,+1.8,Matches
74,Chiquinho\dc6c2f02,pt POR,MF,Wolves,22-006,2000,0.3,0,1,0,0.0,3.10,0.00,0.00,,5.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
75,Hamza Choudhury\7d2d3329,eng ENG,MFDF,Leicester City,24-133,1997,2.5,0,1,0,0.0,0.40,0.00,0.00,,12.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
76,Andreas Christensen\1cb49278,dk DEN,DF,Chelsea,25-307,1996,11.1,0,3,0,0.0,0.27,0.00,0.00,,20.3,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
77,Carney Chukwuemeka\b2f9c73e,eng ENG,MFFW,Aston Villa,18-035,2004,2.1,0,3,1,33.3,1.44,0.48,0.00,0.00,16.7,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches
78,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,32-138,1989,11.3,0,7,1,14.3,0.62,0.09,0.00,0.00,7.0,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
