,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
73,Lucas Boyé\d49f3e6b,ar ARG,FW,Elche,25-348,1996,15.1,36,2.38,22,0,8,3,1,2,9,0.60,4,0,3,0,0,2,Matches
74,Martin Braithwaite\fd771f95,dk DEN,FW,Barcelona,30-251,1991,2.5,3,1.21,3,0,0,0,0,0,1,0.40,1,0,0,0,0,0,Matches
75,Darko Brašanac\4accb7e0,rs SRB,MF,Osasuna,29-364,1992,17.2,38,2.21,32,0,0,3,2,1,4,0.23,3,0,0,1,0,0,Matches
76,Claudio Bravo\10072610,cl CHI,GK,Betis,38-304,1983,9.0,3,0.33,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
77,Yan Brice Eteki\3d688b46,cm CMR,MF,Granada,24-169,1997,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
78,Bryan\7b5ab7f2,es ESP,FWMF,Valencia,21-000,2001,1.0,3,3.00,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
79,Ante Budimir\8f3565b3,hr CRO,FW,Osasuna,30-204,1991,7.3,13,1.78,7,0,1,2,2,1,0,0.00,0,0,0,0,0,0,Matches
80,Sergio Busquets\5ab0ea87,es ESP,MF,Barcelona,33-210,1988,20.6,43,2.09,37,1,1,0,1,3,2,0.10,2,0,0,0,0,0,Matches
81,Adrián Butzke\505dce2b,es ESP,FW,Granada,22-318,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
82,Erick Cabaco\e7ab4179,uy URU,DF,Getafe,26-298,1995,2.7,1,0.38,1,0,0,0,0,0,1,0.38,1,0,0,0,0,0,Matches
83,Leandro Cabrera\69cbc8b6,uy URU,DF,Espanyol,30-239,1991,22.0,14,0.64,11,1,0,2,0,0,4,0.18,2,1,0,1,0,0,Matches
84,Martín Cáceres\e94d79e3,uy URU,DF,Levante,34-310,1987,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
85,Cala\fe05804b,es ESP,DF,Cádiz,32-077,1989,10.0,3,0.30,1,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
86,Calderón\da4e70e5,es ESP,DF,Betis,22-035,2000,0.7,1,1.38,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,Fernando Calero\41b3069f,es ESP,DF,Espanyol,26-150,1995,2.3,1,0.43,1,0,0,0,0,0,1,0.43,1,0,0,0,0,0,Matches
88,Víctor Camarasa\b2d03887,es ESP,MFFW,Betis,27-259,1994,1.2,1,0.83,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
89,Eduardo Camavinga\7b9c2d84,fr FRA,MF,Real Madrid,19-093,2002,5.7,10,1.60,8,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
90,José Campaña\61220da2,es ESP,MF,Levante,28-256,1993,11.4,31,2.71,21,6,0,3,1,0,1,0.09,0,0,0,1,0,0,Matches
91,Sergio Canales\a6de370d,es ESP,FWMF,Betis,30-360,1991,19.3,72,3.73,64,2,3,1,1,1,11,0.57,9,0,1,0,1,0,Matches
92,Álex Cantero\4aa253fd,es ESP,FWMF,Levante,21-248,2000,3.5,6,1.71,3,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
93,Étienne Capoue\5acc4a10,fr FRA,MF,Villarreal,33-215,1988,17.1,17,1.00,11,0,2,0,2,2,1,0.06,1,0,0,0,0,0,Matches
94,Isaac Carcelen\c4b888df,es ESP,DFMF,Cádiz,28-294,1993,15.3,17,1.11,10,1,0,4,1,1,0,0.00,0,0,0,0,0,0,Matches
95,Cárdenas\e1846dde,es ESP,GK,Levante,24-320,1997,9.0,2,0.22,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
96,Carlo\8249ff06,es ESP,MF,Villarreal,20-364,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
97,Diego Carlos\b4a014b1,br BRA,DF,Sevilla,28-333,1993,22.0,12,0.55,10,0,0,1,0,1,2,0.09,2,0,0,0,0,0,Matches
98,Yannick Carrasco\de39485a,be BEL,DFMF,Atlético Madrid,28-160,1993,18.5,69,3.73,40,14,13,2,0,0,8,0.43,4,2,2,0,0,0,Matches
99,Guido Carrillo\8f898ba8,ar ARG,FWMF,Elche,30-262,1991,5.9,10,1.70,5,0,0,1,3,1,1,0.17,1,0,0,0,0,0,Matches
100,Dani Carvajal\4958bfb2,es ESP,DF,Real Madrid,30-031,1992,9.5,17,1.79,16,0,0,0,0,1,1,0.11,1,0,0,0,0,0,Matches
