,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
617,Joel Ward\8a7ff278,eng ENG,DF,Crystal Palace,32-105,1989,22,1980,90,95.7,22.0,22,90,22,0,,0,1.14,32,34,-2,-0.09,+0.91,27.8,26.6,+1.2,+0.06,+0.25,Matches
618,James Ward-Prowse\3515d404,eng ENG,MF,Southampton,27-102,1994,21,1865,89,90.1,20.7,21,89,19,0,,0,1.14,26,32,-6,-0.29,+0.15,25.9,30.2,-4.3,-0.21,-0.64,Matches
619,Ollie Watkins\aed3a70f,eng ENG,FW,Aston Villa,26-043,1995,19,1620,85,81.8,18.0,18,89,17,1,12,0,1.26,25,29,-4,-0.22,-0.22,20.1,27.3,-7.2,-0.40,-0.46,Matches
620,Adam Webster\c40b6180,eng ENG,DF,Brighton,27-038,1995,13,987,76,49.8,11.0,12,81,10,1,16,3,1.62,12,11,+1,+0.09,+0.18,13.0,12.2,+0.7,+0.07,+0.25,Matches
621,Wout Weghorst\c4e87b8b,nl NED,FW,Burnley,29-188,1992,2,180,90,10.0,2.0,2,90,2,0,,0,1.00,1,1,0,0.00,+0.61,1.4,3.1,-1.6,-0.82,-0.29,Matches
622,Danny Welbeck\ce5143da,eng ENG,FWMF,Brighton,31-077,1990,9,403,45,20.4,4.5,4,67,0,5,27,1,1.56,6,3,+3,+0.67,+0.84,3.8,4.8,-0.9,-0.21,-0.19,Matches
623,Reece Welch\a182122b,eng ENG,DF,Everton,18-145,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
624,Timo Werner\49fe9070,de GER,FW,Chelsea,25-342,1996,11,578,53,26.8,6.4,6,86,4,5,13,5,2.09,12,5,+7,+1.09,-0.22,11.0,7.2,+3.9,+0.60,-0.24,Matches
625,Ashley Westwood\495945ef,eng ENG,MF,Burnley,31-316,1990,18,1599,89,88.8,17.8,18,89,17,0,,0,0.72,17,26,-9,-0.51,+0.39,17.4,26.3,-8.8,-0.50,+0.60,Matches
626,Charlie Whitaker\08288a57,eng ENG,MF,Everton,18-148,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
627,Ben White\35e413f1,eng ENG,DF,Arsenal,24-126,1997,20,1800,90,90.9,20.0,20,90,20,0,,0,1.95,34,18,+16,+0.80,+4.30,32.3,23.0,+9.3,+0.47,+3.62,Matches
628,Harvey White\4d90ce8c,eng ENG,MF,Tottenham,20-145,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
629,Joe White\d60c03a9,eng ENG,MF,Newcastle Utd,19-133,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
630,Brandon Williams\5e74d6c8,eng ENG,DF,Manchester Utd,21-161,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
631,Brandon Williams\5e74d6c8,eng ENG,DF,Norwich City,21-161,2000,17,1403,83,67.8,15.6,15,88,12,2,45,3,0.88,12,29,-17,-1.09,+0.93,13.2,26.6,-13.4,-0.86,-0.07,Matches
632,Neco Williams\dd323728,wls WAL,DF,Liverpool,20-304,2001,1,8,8,0.4,0.1,0,,0,1,8,12,3.00,1,0,+1,+11.25,+9.50,0.6,0.4,+0.2,+2.52,+1.06,Matches
633,Joe Willock\a3b03921,eng ENG,MF,Newcastle Utd,22-175,1999,18,1229,68,62.1,13.7,15,78,5,3,18,2,0.83,13,26,-13,-0.95,-0.11,14.2,21.7,-7.6,-0.56,+0.44,Matches
634,Callum Wilson\c596fcb0,eng ENG,FW,Newcastle Utd,29-349,1992,15,1184,79,59.8,13.2,14,84,10,1,12,0,0.60,12,29,-17,-1.29,-0.95,9.5,23.4,-13.9,-1.05,-0.83,Matches
635,Josh Wilson-Esbrand\c19a2df1,eng ENG,DF,Manchester City,19-047,2002,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
636,Harry Winks\2f7acede,eng ENG,MF,Tottenham,26-009,1996,10,616,62,32.6,6.8,7,83,4,3,12,8,1.70,9,10,-1,-0.15,-0.29,13.0,8.9,+4.2,+0.61,+0.26,Matches
637,Yoane Wissa\2500cef9,cd COD,FWMF,Brentford,25-161,1996,16,517,32,23.9,5.7,3,75,1,13,22,3,1.00,6,10,-4,-0.70,-0.15,5.1,6.0,-0.9,-0.16,-0.03,Matches
638,Chris Wood\4e9a0555,nz NZL,FW,Burnley,30-066,1991,17,1367,80,75.9,15.2,17,80,6,0,,0,0.65,15,26,-11,-0.72,-0.72,14.3,23.8,-9.5,-0.63,-0.26,Matches
639,Chris Wood\4e9a0555,nz NZL,FW,Newcastle Utd,30-066,1991,3,270,90,13.6,3.0,3,90,3,0,,0,2.33,5,2,+3,+1.00,+2.21,4.8,3.1,+1.8,+0.59,+1.52,Matches
640,Ben Woodburn\8aadeaef,wls WAL,FWMF,Liverpool,22-119,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
641,Freddie Woodman\19e50035,eng ENG,GK,Newcastle Utd,24-344,1997,4,360,90,18.2,4.0,4,90,4,0,,1,0.25,5,12,-7,-1.75,-1.03,4.3,9.1,-4.8,-1.21,-0.60,Matches
642,Granit Xhaka\e61b8aee,ch SUI,MF,Arsenal,29-137,1992,11,915,83,46.2,10.2,11,83,8,0,,0,1.64,20,12,+8,+0.79,+0.70,16.3,14.5,+1.8,+0.18,+0.08,Matches
643,Andriy Yarmolenko\849c826a,ua UKR,FWMF,West Ham,32-111,1989,11,95,9,4.4,1.1,0,,0,11,9,12,1.55,0,1,-1,-0.95,-1.47,2.4,1.5,+0.9,+0.84,+0.70,Matches
644,Ashley Young\be927d03,eng ENG,FWDF,Aston Villa,36-217,1985,13,746,57,37.7,8.3,7,80,3,6,31,7,1.54,13,13,0,0.00,+0.29,7.6,11.5,-3.9,-0.47,-0.25,Matches
645,Nathan Young-Coombes\f9682888,eng ENG,FW,Brentford,19-027,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
646,Wilfried Zaha\b2bc3b1f,ci CIV,FW,Crystal Palace,29-093,1992,18,1481,82,71.5,16.5,17,86,15,1,24,0,1.11,21,23,-2,-0.12,+0.03,19.5,17.6,+1.9,+0.12,+0.26,Matches
647,Andi Zeqiri\d01231f0,ch SUI,FW,Brighton,22-234,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
648,Christoph Zimmermann\2d5f03bf,de GER,DF,Norwich City,29-030,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
649,Oleksandr Zinchenko\51cf8561,ua UKR,DF,Manchester City,25-058,1996,7,507,72,23.5,5.6,5,90,5,2,29,11,2.57,22,4,+18,+3.20,+1.83,16.7,3.9,+12.7,+2.26,+0.95,Matches
650,Hakim Ziyech\6622454d,ma MAR,FWMF,Chelsea,28-329,1993,13,786,60,36.4,8.7,9,77,3,4,23,9,1.92,14,5,+9,+1.03,-0.35,14.6,6.2,+8.3,+0.95,+0.28,Matches
651,Kurt Zouma\ce4246f5,fr FRA,DF,Chelsea,27-107,1994,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
652,Kurt Zouma\ce4246f5,fr FRA,DF,West Ham,27-107,1994,13,1150,88,53.2,12.8,13,88,12,0,,1,1.69,18,15,+3,+0.23,-0.48,15.0,15.3,-0.3,-0.02,-0.42,Matches
653,Martin Ødegaard\79300479,no NOR,MF,Arsenal,23-056,1998,20,1376,69,69.5,15.3,16,80,8,4,26,0,1.95,26,16,+10,+0.65,+0.80,23.5,17.9,+5.6,+0.36,+0.74,Matches
