,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
457,Nicolas Pépé\57e3f0c7,ci CIV,FWMF,Arsenal,26-258,1995,9,505,56,25.5,5.6,5,90,5,4,14,11,1.89,6,6,0,0.00,-0.55,9.1,7.5,+1.6,+0.28,+0.19,Matches
458,Andreas Pereira\6639e500,br BRA,MF,Manchester Utd,26-041,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
459,Ricardo Pereira\75a72a99,pt POR,DF,Leicester City,28-128,1993,8,595,74,31.5,6.6,8,74,6,0,,4,1.75,12,12,0,0.00,+0.35,10.7,9.2,+1.4,+0.22,+0.86,Matches
460,Ayoze Pérez\819aa8e7,es ESP,FWMF,Leicester City,28-203,1993,8,220,28,11.6,2.4,3,48,0,5,15,8,1.38,4,6,-2,-0.82,-0.66,5.7,6.5,-0.8,-0.33,+0.05,Matches
461,Sonny Perkins\87f12e30,eng ENG,MF,West Ham,18-001,2004,1,4,4,0.2,0.0,0,,0,1,4,1,0.00,0,0,0,0.00,-0.46,0.7,0.0,+0.7,+15.25,+15.11,Matches
462,Romain Perraud\6dfd8f05,fr FRA,DF,Southampton,24-142,1997,12,972,81,47.0,10.8,11,88,8,1,5,11,1.25,15,18,-3,-0.28,+0.05,13.7,16.2,-2.4,-0.23,-0.16,Matches
463,Kalvin Phillips\4f565d77,eng ENG,MF,Leeds United,26-071,1995,12,999,83,50.5,11.1,12,83,10,0,,2,1.25,12,14,-2,-0.18,+1.10,15.1,17.4,-2.3,-0.21,+0.50,Matches
464,Nathaniel Phillips\515ebe8d,eng ENG,DF,Liverpool,24-327,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
465,Jaden Philogene Bidace\19f4d211,eng ENG,FW,Aston Villa,19-269,2002,1,5,5,0.3,0.1,0,,0,1,5,8,3.00,0,0,0,0.00,+0.18,0.0,0.1,-0.1,-1.75,-1.43,Matches
466,Jordan Pickford\4806ec67,eng ENG,GK,Everton,27-341,1994,20,1800,90,95.2,20.0,20,90,20,0,,0,0.95,25,35,-10,-0.50,+2.50,24.5,29.0,-4.5,-0.23,+0.44,Matches
467,Erik Pieters\1ef37668,nl NED,DF,Burnley,33-188,1988,7,382,55,21.2,4.2,4,90,4,3,7,13,0.57,1,3,-2,-0.47,+0.10,3.6,6.4,-2.8,-0.67,-0.13,Matches
468,Ethan Pinnock\e541326e,jm JAM,DF,Brentford,28-258,1993,23,1954,85,90.5,21.7,23,85,20,0,,0,0.87,21,35,-14,-0.64,-0.64,24.4,27.8,-3.4,-0.16,-0.21,Matches
469,Marcelo Pitaluga\b3cafda8,br BRA,GK,Liverpool,19-053,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
470,Daniel Podence\7fcc71d8,pt POR,FWMF,Wolves,26-113,1995,16,789,49,39.8,8.8,8,84,2,8,15,2,1.81,12,6,+6,+0.68,+0.99,10.2,11.7,-1.5,-0.17,+0.24,Matches
471,Paul Pogba\867239d3,fr FRA,MFFW,Manchester Utd,28-333,1993,10,721,72,34.8,8.0,8,86,6,2,18,0,1.50,15,11,+4,+0.50,+0.37,14.3,10.1,+4.2,+0.52,+0.77,Matches
472,Nick Pope\4b40d9ca,eng ENG,GK,Burnley,29-298,1992,18,1620,90,90.0,18.0,18,90,18,0,,0,0.78,15,22,-7,-0.39,+1.61,17.0,26.4,-9.4,-0.52,+0.39,Matches
