,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
340,Dion Lopy\64c14d49,sn SEN,MF,Reims,20-009,2002,8.7,264,307,86.0,5042,806,120,136,88.2,99,113,87.6,40,50,80.0,0,0.1,-0.1,4,15,0,0,20,Matches
341,Samuel Loric\9004f318,fr FRA,DF,Lorient,21-221,2000,3.0,88,128,68.8,1430,408,53,61,86.9,26,40,65.0,9,20,45.0,0,0.0,0.0,0,1,2,2,2,Matches
342,Jordan Lotomba\fc4cf6a7,ch SUI,DF,Nice,23-135,1998,11.2,495,589,84.0,7881,3183,266,288,92.4,186,214,86.9,33,60,55.0,0,0.7,-0.7,7,37,5,3,44,Matches
343,Jean Lucas\a99138af,br BRA,MF,Monaco,23-234,1998,10.1,458,562,81.5,8672,1813,212,242,87.6,166,193,86.0,73,106,68.9,1,1.5,-0.5,14,39,12,3,29,Matches
344,Castello Lukeba\5b9512c5,fr FRA,DF,Lyon,19-056,2002,9.5,627,684,91.7,11974,4194,236,251,94.0,321,345,93.0,67,78,85.9,0,0.1,-0.1,3,30,1,0,47,Matches
345,Levi Lumeka\199ff86e,eng ENG,DFFW,Troyes,23-159,1998,0.7,10,17,58.8,178,25,5,6,83.3,2,6,33.3,2,4,50.0,0,0.0,0.0,0,2,1,1,0,Matches
346,Yannis M'Bemba\080de72a,fr FRA,DFFW,Nantes,20-225,2001,0.1,4,5,80.0,62,13,3,3,100.0,0,0,,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches
347,Deiver Machado\b3f8bdef,co COL,DF,Lens,28-162,1993,3.4,97,118,82.2,1663,622,44,52,84.6,42,47,89.4,9,13,69.2,0,0.2,-0.2,4,2,4,3,8,Matches
348,Yvann Macon\0bb6e193,fr FRA,DF,Saint-Étienne,23-133,1998,13.7,631,829,76.1,10986,3802,329,375,87.7,222,286,77.6,72,121,59.5,0,1.5,-1.5,13,36,16,10,53,Matches
349,Louis Mafouta\bec3d251,cf CTA,FW,Metz,27-224,1994,0.5,12,13,92.3,163,3,8,9,88.9,4,4,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
350,Hugo Magnetti\d4d35152,fr FRA,MF,Brest,23-257,1998,10.3,365,430,84.9,7099,1274,153,169,90.5,143,159,89.9,59,74,79.7,0,0.1,-0.1,4,31,3,0,24,Matches
351,Yohann Magnin\caa7aaea,fr FRA,MFDF,Clermont Foot,24-235,1997,7.2,273,343,79.6,4696,1298,134,151,88.7,103,133,77.4,30,48,62.5,0,0.3,-0.3,2,12,1,1,12,Matches
