,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
445,Crysencio Summerville\df04eb4b,nl NED,MFFW,Leeds United,20-104,2001,1.4,85,2,16,26,47,7,84,3,6,50.0,3,0,70,340,148,11,0,1,2,5,69,57,82.6,12,Matches
446,Jakob Sørensen\953c30b0,dk DEN,DFMF,Norwich City,23-345,1998,4.1,224,31,112,104,18,7,216,2,2,100.0,2,1,122,616,353,9,1,0,2,2,136,124,91.2,3,Matches
447,Japhet Tanganga\e9971f2d,eng ENG,DF,Tottenham,22-317,1999,8.2,504,46,181,244,115,11,450,3,6,50.0,3,0,283,1401,954,35,15,3,4,9,327,310,94.8,12,Matches
448,Matt Targett\e514ab62,eng ENG,DF,Aston Villa,26-146,1995,15.9,965,62,290,422,291,17,817,1,5,20.0,1,0,508,1909,1094,36,11,3,8,6,586,526,89.8,31,Matches
449,Matt Targett\e514ab62,eng ENG,DF,Newcastle Utd,26-146,1995,1.0,61,3,22,31,9,0,45,0,2,0.0,0,0,20,62,24,1,0,0,0,0,21,19,90.5,0,Matches
450,James Tarkowski\15ea812b,eng ENG,DF,Burnley,29-084,1992,19.0,844,172,433,376,64,39,834,3,5,60.0,3,0,313,1515,710,14,3,0,8,3,396,361,91.2,6,Matches
451,Nuno Tavares\a65c844b,pt POR,DF,Arsenal,22-016,2000,6.9,498,25,153,202,181,29,442,16,27,59.3,16,0,338,1774,1082,53,18,8,7,7,332,311,93.7,22,Matches
452,Charlie Taylor\cc2d7ad5,eng ENG,DF,Burnley,28-146,1993,16.0,962,93,335,422,269,6,801,15,30,50.0,18,0,463,3250,1366,62,27,0,9,11,450,429,95.3,14,Matches
453,Nathan Tella\f1e94cd6,eng ENG,MFFW,Southampton,22-221,1999,6.5,256,7,42,115,123,19,249,11,27,40.7,13,1,182,1066,608,25,11,5,28,18,237,148,62.4,28,Matches
454,Alex Telles\e73c9bb2,br BRA,DF,Manchester Utd,29-058,1992,8.2,626,26,179,281,201,9,526,2,8,25.0,2,0,335,1411,800,31,19,0,2,5,394,361,91.6,21,Matches
455,Luke Thomas\fc027d02,eng ENG,DF,Leicester City,20-246,2001,12.6,854,54,302,393,201,12,714,9,20,45.0,12,0,477,1871,989,36,14,2,17,14,502,473,94.2,16,Matches
456,Dominic Thompson\235a62f8,eng ENG,DF,Brentford,21-200,2000,1.6,56,8,32,16,11,2,54,0,1,0.0,0,0,32,97,42,0,0,0,2,0,35,29,82.9,0,Matches
457,Youri Tielemans\56f7a928,be BEL,MF,Leicester City,24-280,1997,15.4,1091,62,280,604,264,22,1029,10,15,66.7,10,0,717,2467,1464,63,24,4,15,15,831,765,92.1,37,Matches
458,Kieran Tierney\fce2302c,sct SCO,DF,Arsenal,24-251,1997,15.3,895,43,221,393,342,39,770,6,17,35.3,8,1,546,2755,1712,82,28,8,10,5,594,542,91.2,50,Matches
459,Takehiro Tomiyasu\b3af9be1,jp JPN,DF,Arsenal,23-098,1998,15.4,1082,60,344,536,261,17,943,6,11,54.5,6,0,570,2568,1434,56,22,2,18,14,653,597,91.4,23,Matches
460,James Tomkins\e7ca0439,eng ENG,DF,Crystal Palace,32-319,1989,6.1,364,90,254,110,9,8,344,2,2,100.0,2,0,204,895,383,8,0,0,1,0,244,238,97.5,1,Matches
461,Ivan Toney\e09f279b,eng ENG,FW,Brentford,25-332,1996,21.0,783,37,111,367,338,90,765,13,26,50.0,13,2,416,1595,771,35,11,4,58,40,1081,543,50.2,134,Matches
462,Ferrán Torres\9e1035f8,es ESP,FW,Manchester City,21-347,2000,3.4,104,0,5,30,71,28,99,4,5,80.0,4,0,72,283,93,2,0,2,4,4,125,78,62.4,29,Matches
463,Cenk Tosun\9a104dee,tr TUR,FW,Everton,30-249,1991,0.1,3,0,0,3,0,0,3,0,0,,0,0,2,13,0,0,0,0,1,0,5,2,40.0,0,Matches
464,Andros Townsend\b28bbd58,eng ENG,MF,Everton,30-210,1991,15.7,691,14,126,285,340,30,640,23,41,56.1,25,0,476,2704,1419,68,24,8,32,29,577,416,72.1,62,Matches
465,Adama Traoré\9a28eba4,es ESP,FW,Wolves,26-017,1996,11.9,497,5,57,232,279,56,495,62,85,72.9,64,1,478,3606,2272,97,31,29,37,35,631,394,62.4,73,Matches
466,Bertrand Traoré\c47541e0,bf BFA,MFFW,Aston Villa,26-158,1995,1.7,88,0,4,47,45,10,86,10,21,47.6,12,4,80,457,184,12,2,4,7,1,103,67,65.0,14,Matches
467,Trézéguet\3ae14ed1,eg EGY,FW,Aston Villa,27-133,1994,0.1,9,0,0,5,4,1,9,1,1,100.0,1,0,9,30,12,1,0,0,2,0,13,9,69.2,3,Matches
468,Francisco Trincão\77e39b04,pt POR,FWMF,Wolves,22-044,1999,11.1,504,2,65,239,253,35,486,27,59,45.8,32,11,371,1964,1157,54,19,7,22,20,510,348,68.2,75,Matches
469,Kieran Trippier\21512407,eng ENG,DF,Newcastle Utd,31-145,1990,3.0,216,15,68,90,65,0,153,0,1,0.0,0,0,86,252,147,6,2,0,0,2,79,75,94.9,3,Matches
470,William Troost-Ekong\7ed4921e,ng NGA,DF,Watford,28-163,1993,15.3,704,150,466,259,16,4,689,1,2,50.0,1,0,357,2199,1377,22,2,0,0,0,417,410,98.3,2,Matches
471,Leandro Trossard\38ceb24a,be BEL,FWMF,Brighton,27-069,1994,19.3,956,9,111,374,535,108,920,39,53,73.6,40,0,731,4181,2208,116,29,26,42,57,925,711,76.9,124,Matches
472,Kostas Tsimikas\f315ca93,gr GRE,DF,Liverpool,25-275,1996,6.4,476,24,121,179,210,18,395,5,10,50.0,5,1,286,1545,832,51,18,6,2,9,308,279,90.6,34,Matches
473,Axel Tuanzebe\2baec6ce,eng ENG,DF,Aston Villa,24-089,1997,5.6,263,41,161,112,7,3,257,0,0,,0,0,155,908,419,4,0,0,2,0,179,172,96.1,1,Matches
474,Ozan Tufan\17d45fb2,tr TUR,MF,Watford,26-325,1995,3.7,151,5,26,87,50,9,141,2,3,66.7,2,0,82,465,194,7,4,1,5,5,125,88,70.4,14,Matches
475,Christos Tzolis\9f333379,gr GRE,FWMF,Norwich City,20-012,2002,3.4,124,3,19,52,60,17,123,0,3,0.0,0,0,94,570,378,20,6,7,8,4,133,94,70.7,25,Matches
476,Yan Valery\531a4aa8,fr FRA,DF,Southampton,22-354,1999,1.0,35,6,10,21,6,0,35,0,0,,0,0,21,120,54,3,1,0,1,0,17,17,100.0,0,Matches
477,Raphaël Varane\9f8e9423,fr FRA,DF,Manchester Utd,28-292,1993,12.3,808,104,396,443,30,12,784,2,5,40.0,2,1,504,3542,1899,42,6,0,2,1,553,539,97.5,0,Matches
478,Jamie Vardy\45963054,eng ENG,FW,Leicester City,35-031,1987,14.7,292,11,23,126,164,72,266,8,13,61.5,9,0,160,1058,662,37,10,17,16,8,507,204,40.2,85,Matches
479,Joël Veltman\dad4b285,nl NED,DF,Brighton,30-027,1992,16.1,1090,89,396,499,259,14,944,8,18,44.4,9,1,610,2863,1241,44,12,1,11,8,651,613,94.2,10,Matches
480,Jannik Vestergaard\1900032e,dk DEN,DF,Leicester City,29-192,1992,6.3,435,97,265,176,8,3,425,3,3,100.0,3,0,283,1263,548,8,3,0,1,0,301,289,96.0,0,Matches
481,Nikola Vlašić\aa8e289e,hr CRO,FWMF,West Ham,24-130,1997,4.0,188,1,26,91,88,19,187,6,9,66.7,7,1,149,832,458,21,8,4,5,12,186,133,71.5,28,Matches
482,Matěj Vydra\0d4ceb32,cz CZE,FW,Burnley,29-286,1992,5.0,133,7,13,38,87,28,133,5,8,62.5,5,0,74,227,92,5,1,0,16,8,244,102,41.8,38,Matches
483,Theo Walcott\1ecb65be,eng ENG,MFFW,Southampton,32-332,1989,4.2,129,2,26,46,63,18,128,1,2,50.0,1,0,78,363,153,8,3,2,9,3,137,85,62.0,22,Matches
484,Kyle Walker\86dd77d1,eng ENG,DF,Manchester City,31-259,1990,13.5,1246,33,250,807,265,12,1137,5,9,55.6,6,0,905,3739,1537,59,28,4,9,4,995,952,95.7,17,Matches
485,Kyle Walker-Peters\984a5a64,eng ENG,DF,Southampton,24-304,1997,15.0,863,51,218,410,303,40,737,19,31,61.3,19,0,544,3560,2274,114,37,15,16,22,533,485,91.0,43,Matches
486,Aaron Wan-Bissaka\9e525177,eng ENG,DF,Manchester Utd,24-077,1997,14.9,1014,61,343,468,275,16,889,26,41,63.4,26,4,662,3106,1826,74,27,4,8,17,693,626,90.3,27,Matches
487,Joel Ward\8a7ff278,eng ENG,DF,Crystal Palace,32-105,1989,22.0,1605,113,637,757,293,10,1360,11,19,57.9,12,0,920,4308,2253,68,23,1,8,18,974,938,96.3,10,Matches
488,James Ward-Prowse\3515d404,eng ENG,MF,Southampton,27-102,1994,20.7,1357,56,251,735,425,17,1157,12,17,70.6,12,0,738,2593,1179,56,17,2,9,23,822,756,92.0,27,Matches
489,Ollie Watkins\aed3a70f,eng ENG,FW,Aston Villa,26-043,1995,18.0,664,17,42,297,362,103,645,19,37,51.4,20,0,413,1801,1065,68,18,23,38,51,871,495,56.8,148,Matches
490,Adam Webster\c40b6180,eng ENG,DF,Brighton,27-038,1995,11.0,953,83,489,466,94,7,929,6,7,85.7,6,0,626,3792,2429,61,21,2,2,4,684,675,98.7,2,Matches
491,Wout Weghorst\c4e87b8b,nl NED,FW,Burnley,29-188,1992,2.0,86,4,9,41,37,6,86,4,6,66.7,4,1,45,109,35,1,0,0,8,4,135,64,47.4,21,Matches
492,Danny Welbeck\ce5143da,eng ENG,FWMF,Brighton,31-077,1990,4.5,145,3,10,50,93,27,144,4,9,44.4,5,0,91,375,216,14,2,5,14,14,186,107,57.5,31,Matches
493,Timo Werner\49fe9070,de GER,FW,Chelsea,25-342,1996,6.4,232,1,19,88,145,56,226,5,17,29.4,7,1,182,1104,645,30,6,14,17,9,302,175,57.9,53,Matches
